IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOREIS,NEWREG                              ,2026-04-04-06.59.50.528000,,MAXADMIN
  DIEGOESMITE,INACTIVE                            ,2022-08-25-06.00.54.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOESMITE,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  DIEGOESTEFANI,INACTIVE                            ,2021-01-11-09.52.10.000000,Ticket 0183051,ITEAM
  DIEGOESTEFANI,ACTIVE                              ,2018-08-16-10.37.23.000000,,MAXADMIN
  DIEGOFREITAS,INACTIVE                            ,2023-12-18-07.13.09.000000,Automatic Inativate expired user access,MAXADMIN
  DIEGOFREITAS,ACTIVE                              ,2023-12-05-12.16.04.000000,,JOSESANTOS
  DIEGOFREITAS,NEWREG                              ,2023-12-05-08.11.29.000000,,MAXADMIN
  DIEGOFVIANA,NEWREG                              ,2025-03-31-10.23.57.000000,,MAXADMIN
  DIEGOFVIANA,INACTIVE                            ,2026-06-19-07.45.04.719000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOFVIANA,ACTIVE                              ,2026-04-04-07.52.55.233000,,HELPDESK
  DIEGOFVIANA,INACTIVE                            ,2026-03-26-07.45.02.451000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOFVIANA,ACTIVE                              ,2025-10-19-20.04.00.000000,Ticket#2025101929000211,HELPDESK
  DIEGOFVIANA,INACTIVE                            ,2025-08-06-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOFVIANA,ACTIVE                              ,2025-03-31-10.39.07.000000,,RAFAELLANA
  DIEGONARCISO,NEWREG                              ,2026-02-20-19.29.17.314000,,ITEAM
  DIEGONARCISO,INACTIVE                            ,2026-04-20-07.45.02.605000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGONARCISO,ACTIVE                              ,2026-02-20-19.31.04.605000,,RAFAELLANA
  DIEGOOTAVIO,ACTIVE                              ,2016-08-23-13.30.27.000000,,MAXADMIN
  DIEGOOTAVIO,ACTIVE                              ,2019-07-16-18.12.09.000000,,MAXADMIN
  DIEGOOTAVIO,INACTIVE                            ,2021-08-06-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOOTAVIO,BLOCKED                             ,2019-07-16-18.08.18.000000,FORGOTPSWD,MAXREG
  DIEGOOTAVIO,ACTIVE                              ,2020-03-19-10.48.18.000000,,MAXADMIN
  DIEGOOTAVIO,BLOCKED                             ,2020-03-19-10.47.16.000000,,MAXADMIN
  DIEGOPESSANHA,ACTIVE                              ,2024-05-17-03.07.56.000000,,ANDREGIACOMELI
  DIEGOPESSANHA,NEWREG                              ,2024-05-17-03.06.21.000000,,MAXADMIN
  DIEGOPESSANHA,INACTIVE                            ,2024-05-21-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  DIEGOROCHAS,NEWREG                              ,2024-01-19-09.57.13.000000,,MAXADMIN
  DIEGOROCHAS,ACTIVE                              ,2024-09-20-17.04.08.000000,Ticket#0373971 — MAXIMO,HELPDESK
  DIEGOROCHAS,ACTIVE                              ,2024-03-14-17.17.35.000000,,ANDREGIACOMELI
  DIEGOROCHAS,ACTIVE                              ,2024-01-22-14.12.02.000000,,ITEAM
  DIEGOROCHAS,INACTIVE                            ,2024-05-04-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOROCHAS,INACTIVE                            ,2024-01-23-00.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  DIEGOROCHAS,INACTIVE                            ,2024-01-20-00.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  DIEGOROCHAS,ACTIVE                              ,2024-01-19-09.58.34.000000,,ANDREGIACOMELI
  DIEGOROCHAS,ACTIVE                              ,2025-04-14-16.00.16.000000,2025041429000527,HELPDESK
  DIEGOROCHAS,INACTIVE                            ,2025-06-17-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOROCHAS,INACTIVE                            ,2025-03-12-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOSANCHES,ACTIVE                              ,2026-02-09-11.06.39.481000,,ITEAM
  DIEGOSANCHES,ACTIVE                              ,2026-05-08-08.29.44.554000,,MAXADMIN
  DIEGOSANCHES,BLOCKED                             ,2026-05-08-08.28.29.598000,,MAXADMIN
  DIEGOSANDER,ACTIVE                              ,2024-02-26-09.03.25.000000,,ITEAM
  DIEGOSANDER,INACTIVE                            ,2024-06-23-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOSANTOSS,NEWREG                              ,2023-12-16-13.11.20.000000,,MAXADMIN
  DIEGOSANTOSS,ACTIVE                              ,2024-10-14-16.42.03.000000,,JOSESANTOS
  DIEGOSANTOSS,INACTIVE                            ,2024-12-07-06.00.06.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOSANTOSS,INACTIVE                            ,2023-12-30-00.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  DIEGOSANTOSS,ACTIVE                              ,2023-12-16-13.17.21.000000,,ANDREGIACOMELI
  DIEGOSANTOSSILVA,ACTIVE                              ,2025-03-14-15.33.06.000000,,ANDREGIACOMELI
  DIEGOSANTOSSILVA,INACTIVE                            ,2025-05-14-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOSANTOSSILVA,NEWREG                              ,2025-03-14-15.31.29.000000,,MAXADMIN
  DIEGOTIBAU,ACTIVE                              ,2024-07-11-19.06.00.000000,,ANDREGIACOMELI
  DIEGOTIBAU,NEWREG                              ,2024-07-11-19.02.31.000000,,MAXADMIN
  DIEGOTIBAU,INACTIVE                            ,2024-09-02-06.00.07.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOVALENTIM,ACTIVE                              ,2021-04-13-16.04.06.000000,,ITEAM
  DIEGOVALENTIM,INACTIVE                            ,2023-10-12-06.00.18.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIEGOVALENTIM,ACTIVE                              ,2023-10-11-16.18.33.000000,,ITEAM
  DIEGOVALENTIM,ACTIVE                              ,2023-11-29-19.25.24.000000,,MAXADOOG
  DIEGOVALENTIM,INACTIVE                            ,2021-08-18-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIMASTRAJANO,NEWREG                              ,2026-02-04-13.28.38.750000,,ITEAM
  DIMASTRAJANO,ACTIVE                              ,2026-05-31-06.44.12.107000,,ANDREGIACOMELI
  DIMASTRAJANO,INACTIVE                            ,2026-05-27-07.45.13.994000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIMASTRAJANO,ACTIVE                              ,2026-02-04-13.30.08.790000,,ANDREGIACOMELI
  DIMISOLIVEIRA,NEWREG                              ,2024-12-17-04.08.02.000000,,MAXADMIN
  DIMISOLIVEIRA,ACTIVE                              ,2024-12-17-04.08.53.000000,,ANDREGIACOMELI
  DIMISOLIVEIRA,INACTIVE                            ,2024-12-30-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  DIMITRIVANDEVEER,ACTIVE                              ,2014-05-04-22.28.51.000000,,MAXADMIN
  DIMITRIVANDEVEER,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  DIOGOCARVALHO,ACTIVE                              ,2026-06-16-15.04.02.255000,,ITEAM
  DIOGOMOREIRA,ACTIVE                              ,2025-07-17-20.03.24.000000,,ANDREGIACOMELI
  DIOGOMOREIRA,INACTIVE                            ,2025-10-13-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DIOGOMOREIRA,NEWREG                              ,2025-07-17-20.02.41.000000,,ITEAM
  DIONESVIANA,INACTIVE                            ,2023-12-18-07.13.09.000000,Automatic Inativate expired user access,MAXADMIN
  DIONESVIANA,NEWREG                              ,2023-12-05-20.34.36.000000,,MAXADMIN
  DIONESVIANA,ACTIVE                              ,2023-12-05-20.35.17.000000,,JOSESANTOS
  DJALMAPIO,NEWREG                              ,2024-02-08-20.17.39.000000,,MAXADMIN
  DJALMAPIO,ACTIVE                              ,2024-02-08-20.19.14.000000,,JOSESANTOS
  DJALMAPIO,INACTIVE                            ,2024-03-30-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DJALMASANTOS,ACTIVE                              ,2025-11-25-20.24.22.000000,,ANDREGIACOMELI
  DJALMASANTOS,INACTIVE                            ,2026-03-26-07.45.03.216000,Usuario inativo por mais de 50 dias,MAXADMIN
  DJALMASANTOS,ACTIVE                              ,2025-11-26-12.13.29.000000,,ANDREGIACOMELI
  DJALMASANTOS,INACTIVE                            ,2025-11-26-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  DJALMASANTOS,NEWREG                              ,2025-11-25-20.23.03.000000,,ITEAM
  DORRICELILEMBRANCE,ACTIVE                              ,2021-06-17-08.19.17.000000,,MAXADOOG
  DORRICELILEMBRANCE,INACTIVE                            ,2021-08-18-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DOUGLASBAPTISTA,NEWREG                              ,2025-01-20-10.15.18.000000,,MAXADMIN
  DOUGLASBAPTISTABITTENCOURT,ACTIVE                              ,2025-01-20-10.02.28.000000,,ANDREGIACOMELI
  DOUGLASBAPTISTABITTENCOURT,NEWREG                              ,2024-11-24-15.28.54.000000,,MAXADMIN
  DOUGLASBAPTISTABITTENCOURT,INACTIVE                            ,2026-03-26-07.45.03.236000,Usuario inativo por mais de 50 dias,MAXADMIN
  DOUGLASCORDEIRO,ACTIVE                              ,2024-04-09-09.50.58.000000,,ANDREGIACOMELI
  DOUGLASCORDEIRO,INACTIVE                            ,2024-12-02-14.57.24.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DOUGLASCORDEIRO,ACTIVE                              ,2024-10-11-16.19.15.000000,,JOSESANTOS
  DOUGLASCORDEIRO,INACTIVE                            ,2024-05-30-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DOUGLASCORDEIRO,NEWREG                              ,2024-04-09-09.37.47.000000,,MAXADMIN
  DOUGLASFARAH,ACTIVE                              ,2015-08-25-17.48.37.000000,,MAXADMIN
  DOUGLASFARAH,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  DOUGLASFARIA,NEWREG                              ,2024-04-09-09.47.48.000000,,MAXADMIN
  DOUGLASFERREIRADEBARROS,NEWREG                              ,2024-07-08-20.10.31.000000,,MAXADMIN
  DOUGLASFERREIRADEBARROS,INACTIVE                            ,2024-09-03-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DOUGLASFERREIRADEBARROS,ACTIVE                              ,2024-07-08-20.16.32.000000,,ANDREGIACOMELI
  DOUGLASPESSANHA,NEWREG                              ,2025-05-10-16.41.35.000000,,ITEAM
  DOUGLASPESSANHA,INACTIVE                            ,2025-05-13-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  DOUGLASPESSANHA,ACTIVE                              ,2025-05-12-16.11.15.000000,,ITEAM
  DOUGLASPESSANHA,INACTIVE                            ,2025-07-23-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DOUGLASPESSANHA,ACTIVE                              ,2025-05-18-20.12.09.000000,,RAFAELLANA
  DOUGLASPESSANHA,INACTIVE                            ,2025-05-12-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  DOUGLASPESSANHA,ACTIVE                              ,2025-05-11-15.01.35.000000,,ANDREGIACOMELI
  DOUGLASPESSANHA,INACTIVE                            ,2025-05-11-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  DOUGLASPESSANHA,ACTIVE                              ,2025-05-10-16.42.48.000000,,ANDREGIACOMELI
  DOUGLASVIANA,ACTIVE                              ,2025-12-02-19.17.15.000000,,ANDREGIACOMELI
  DOUGLASVIANA,INACTIVE                            ,2026-03-26-07.45.03.731000,Usuario inativo por mais de 50 dias,MAXADMIN
  DOUGLASVIANA,NEWREG                              ,2025-12-02-19.15.58.000000,,ITEAM
  DOUGLASVIEIRA,ACTIVE                              ,2016-10-28-16.05.56.000000,,JULINECAETANO
  DOUGLASVIEIRA,INACTIVE                            ,2022-09-23-06.01.19.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DSANTOS,NEWREG                              ,2026-06-04-09.56.07.066000,,MAXADMIN
  DSANTOS,ACTIVE                              ,2026-06-04-09.57.05.150000,,ANDREGIACOMELI
  DVIANA,NEWREG                              ,2025-03-31-09.45.01.000000,,MAXADMIN
  EDDYGILLIES,ACTIVE                              ,2014-05-06-15.12.26.000000,,MAXADMIN
  EDDYGILLIES,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  EDERBRITO,ACTIVE                              ,2023-12-14-11.31.05.000000,,JOSESANTOS
  EDERBRITO,INACTIVE                            ,2023-12-15-00.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  EDERBRITO,NEWREG                              ,2023-09-26-15.49.26.000000,,MAXADMIN
  EDGARDSANTOS,NEWREG                              ,2024-02-09-20.14.05.000000,,MAXADMIN
  EDGARDSANTOS,INACTIVE                            ,2024-04-09-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDGARDSANTOS,ACTIVE                              ,2024-02-09-20.16.24.000000,,ANDREGIACOMELI
  EDILSONFREITAS,NEWREG                              ,2026-03-23-16.17.52.041000,,MAXADMIN
  EDILSONFREITAS,INACTIVE                            ,2026-05-15-07.45.06.215000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDILSONFREITAS,ACTIVE                              ,2026-03-23-16.19.05.127000,,RAFAELLANA
  EDILSONVIANA,ACTIVE                              ,2021-10-29-09.34.06.000000,,ITEAM
  EDILSONVIANA,BLOCKED                             ,2024-05-01-18.39.47.000000,,MAXADMIN
  EDILSONVIANA,ACTIVE                              ,2024-05-01-18.43.19.000000,,MAXADOOG
  EDILSONVIANA,ACTIVE                              ,2023-10-11-09.04.09.000000,,MAXADOOG
  EDILSONVIANA,INACTIVE                            ,2021-12-19-05.00.12.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDILSONVIANA,INACTIVE                            ,2026-06-17-07.45.08.806000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDILSONVIANA,ACTIVE                              ,2026-07-09-10.35.29.790000,,GREGORYMATOS
  EDIMILSONAMARAL,NEWREG                              ,2025-01-18-20.07.11.000000,,MAXADMIN
  EDIMILSONAMARAL,ACTIVE                              ,2025-06-07-12.29.45.000000,,ANDREGIACOMELI
  EDIMILSONAMARAL,INACTIVE                            ,2025-05-30-06.00.10.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDIMILSONAMARAL,INACTIVE                            ,2025-08-01-06.00.06.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDIMILSONAMARAL,ACTIVE                              ,2025-03-28-08.45.02.000000,,ANDREGIACOMELI
  EDIMILSONAMARAL,INACTIVE                            ,2025-03-22-06.01.31.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDIMILSONAMARAL,ACTIVE                              ,2025-01-18-20.08.15.000000,,ANDREGIACOMELI
  EDIVALDOOP,NEWREG                              ,2025-08-09-06.21.41.000000,,ITEAM
  EDIVALDOOP,INACTIVE                            ,2025-11-30-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDIVALDOOP,ACTIVE                              ,2025-08-09-06.22.52.000000,,ANDREGIACOMELI
  EDMARSOUZA,ACTIVE                              ,2025-01-30-10.29.21.000000,,ANDREGIACOMELI
  EDMARSOUZA,INACTIVE                            ,2025-04-28-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDMARSOUZA,NEWREG                              ,2025-01-30-10.28.15.000000,,MAXADMIN
  EDSONRAFAEL,INACTIVE                            ,2019-02-11-17.31.53.000000,Saneamento de acordo com informação do capitao em 11/02,MAXADOOG
  EDSONRAFAEL,INACTIVE                            ,2021-02-26-08.25.29.000000,Usuario inativo por nao acessar o sistema,MAXADOOG
  EDSONRAFAEL,ACTIVE                              ,2018-07-27-17.37.34.000000,,MAXADMIN
  EDSONRAFAEL,ACTIVE                              ,2019-02-21-08.25.17.000000,,MAXADOOG
  EDSONSANTOS,ACTIVE                              ,2026-07-03-11.22.33.731000,,ITEAM
  EDSONVENERA,ACTIVE                              ,2014-04-29-15.25.50.000000,,MAXADMIN
  EDSONVENERA,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  EDUARDOBEZERRA,ACTIVE                              ,2015-07-10-16.00.10.000000,,MAXADMIN
  EDUARDOBEZERRA,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  EDUARDOBOSCO,ACTIVE                              ,2026-06-17-10.51.43.453000,,ITEAM
  EDUARDOCARVALHO,ACTIVE                              ,2025-09-16-07.10.45.000000,,MAXADOOG
  EDUARDOCARVALHO,INACTIVE                            ,2025-11-19-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOCLARK,ACTIVE                              ,2025-08-28-07.00.37.000000,,MAXADMIN
  EDUARDOCLARK,INACTIVE                            ,2025-10-18-06.00.17.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOCLARK,ACTIVE                              ,2025-07-13-07.28.01.000000,,ANDREGIACOMELI
  EDUARDOCLARK,NEWREG                              ,2025-07-13-07.24.50.000000,,ITEAM
  EDUARDOCLARK,BLOCKED                             ,2025-08-28-06.52.31.000000,,MAXADMIN
  EDUARDOD,NEWREG                              ,2025-08-26-19.09.37.000000,,ITEAM
  EDUARDODEJESUS,INACTIVE                            ,2023-12-01-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDODEJESUS,INACTIVE                            ,2024-05-01-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDODEJESUS,ACTIVE                              ,2023-10-11-16.03.29.000000,,ITEAM
  EDUARDODEJESUS,ACTIVE                              ,2024-01-16-07.58.44.000000,,MAXADMIN
  EDUARDODEJESUS,BLOCKED                             ,2024-01-16-07.58.14.000000,,MAXADMIN
  EDUARDODEJESUS,ACTIVE                              ,2024-01-15-14.47.08.000000,,ITEAM
  EDUARDODEJESUS,ACTIVE                              ,2026-01-26-23.58.37.905000,,HELPDESK
  EDUARDODEJESUS,INACTIVE                            ,2026-07-01-07.45.02.192000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOFERREIRA,INACTIVE                            ,2023-11-15-05.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOFERREIRA,INACTIVE                            ,2024-02-24-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOFERREIRA,ACTIVE                              ,2023-12-18-21.16.07.000000,Ticket#0331306,HELPDESK
  EDUARDOFERREIRA,ACTIVE                              ,2023-09-25-17.08.56.000000,,ITEAM
  EDUARDOFIALHO,ACTIVE                              ,2023-09-25-16.20.27.000000,,ITEAM
  EDUARDOFIALHO,ACTIVE                              ,2023-12-11-08.36.35.000000,Ticket#0330033 — Acesso ao maximo,ITEAM
  EDUARDOFIALHO,INACTIVE                            ,2023-11-15-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOFIALHO,ACTIVE                              ,2025-08-09-09.41.01.000000,,MAXADMIN
  EDUARDOFIALHO,BLOCKED                             ,2025-08-09-09.38.10.000000,,MAXADMIN
  EDUARDOFIALHO,ACTIVE                              ,2025-08-09-10.01.01.000000,,MAXADMIN
  EDUARDOFIALHO,BLOCKED                             ,2025-08-09-09.51.59.000000,,MAXADMIN
  EDUARDOGADELHA,ACTIVE                              ,2019-01-22-08.27.49.000000,,MAXADMIN
  EDUARDOGADELHA,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  EDUARDOJR,ACTIVE                              ,2023-12-12-17.58.18.000000,,JOSESANTOS
  EDUARDOJR,NEWREG                              ,2023-12-12-17.56.39.000000,,MAXADMIN
  EDUARDOJR,INACTIVE                            ,2023-12-18-07.13.09.000000,Automatic Inativate expired user access,MAXADMIN
  EDUARDOMANSUR,ACTIVE                              ,2020-12-10-12.37.53.000000,,ITEAM
  EDUARDOMANSUR,INACTIVE                            ,2021-03-11-14.36.40.000000,Ticket#0190443,ITEAM
  EDUARDOMARTINS,NEWREG                              ,2025-05-11-21.41.24.000000,,ITEAM
  EDUARDOMARTINS,INACTIVE                            ,2025-07-01-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOMARTINS,ACTIVE                              ,2025-05-11-21.42.59.000000,,ANDREGIACOMELI
  EDUARDONETO,ACTIVE                              ,2016-10-14-15.48.11.000000,,JULINECAETANO
  EDUARDONETO,INACTIVE                            ,2017-03-20-14.48.41.000000,Saneamento usuário março/17,MAXADOOG
  EDUARDOOLIVEIRA,ACTIVE                              ,2024-12-05-15.22.33.000000,,ITEAM
  EDUARDOOLIVEIRA,INACTIVE                            ,2025-01-25-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOOLIVEIRA,ACTIVE                              ,2025-12-11-10.01.34.128000,Ticket#2025121129000133 — Solicitação de Acesso ao Maximo,ITEAM
  EDUARDOROSA,ACTIVE                              ,2024-01-07-17.32.53.000000,,JOSESANTOS
  EDUARDOROSA,INACTIVE                            ,2024-03-18-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOROSA,NEWREG                              ,2024-01-07-17.29.31.000000,,MAXADMIN
  EDUARDOSILVA,INACTIVE                            ,2020-06-09-20.24.33.000000,,MAXADOOG
  EDUARDOSILVA,ACTIVE                              ,2019-10-31-09.50.02.000000,,MAXADOOG
  EDUARDOSOUZA,ACTIVE                              ,2023-09-25-16.19.13.000000,,ITEAM
  EDUARDOSOUZA,ACTIVE                              ,2024-07-22-00.30.44.000000,Ticket#0366681,HELPDESK
  EDUARDOSOUZA,INACTIVE                            ,2024-06-16-06.00.06.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOSOUZA,ACTIVE                              ,2024-04-25-08.56.29.000000,Ticket#0352424 — Criação de acesso no Maximo,ITEAM
  EDUARDOSOUZA,INACTIVE                            ,2023-11-15-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOSOUZA,BLOCKED                             ,2025-10-10-18.27.27.000000,,MAXADMIN
  EDUARDOSOUZA,INACTIVE                            ,2026-03-26-07.45.01.079000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOSOUZA,ACTIVE                              ,2025-10-10-18.27.29.000000,,MAXADMIN
  EDURADOOLIVEIRA,NEWREG                              ,2024-06-22-20.12.05.000000,,MAXADMIN
  EDURADOOLIVEIRA,INACTIVE                            ,2024-08-12-06.00.08.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDURADOOLIVEIRA,ACTIVE                              ,2024-06-22-20.15.20.000000,,JOSESANTOS
  EDVALDOCONCEICAO,ACTIVE                              ,2017-07-31-13.06.01.000000,,PAULOPARREIRA
  EDVALDOCONCEICAO,INACTIVE                            ,2018-09-03-09.12.59.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  EDWINVILLAGARAY,BLOCKED                             ,2022-07-11-13.16.43.000000,,MAXADMIN
  EDWINVILLAGARAY,INACTIVE                            ,2024-05-22-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDWINVILLAGARAY,ACTIVE                              ,2023-10-13-10.04.36.000000,,MAXADOOG
  EDWINVILLAGARAY,BLOCKED                             ,2022-07-11-12.55.13.000000,,MAXADMIN
  EDWINVILLAGARAY,INACTIVE                            ,2021-10-26-21.25.17.000000,,MAXADOOG
  EDWINVILLAGARAY,INACTIVE                            ,2022-09-30-06.00.31.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDWINVILLAGARAY,ACTIVE                              ,2022-07-11-13.38.20.000000,,MAXADMIN
  EDWINVILLAGARAY,ACTIVE                              ,2022-07-11-12.58.20.000000,,MAXADMIN
  EDWINVILLAGARAY,ACTIVE                              ,2021-10-26-21.25.27.000000,,MAXADOOG
  EDWINVILLAGARAY,BLOCKED                             ,2022-07-11-13.31.46.000000,,MAXADMIN
  EDWINVILLAGARAY,ACTIVE                              ,2022-07-11-13.18.20.000000,,MAXADMIN
  EFRANCA,ACTIVE                              ,2024-09-24-09.55.57.000000,,ANDREGIACOMELI
  EFRANCA,INACTIVE                            ,2024-11-25-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EFRANCA,NEWREG                              ,2024-09-24-09.44.38.000000,,MAXADMIN
  ELCIODIAS,ACTIVE                              ,2017-07-11-16.53.22.000000,,MAXADOOG
  ELCIODIAS,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  ELIASMARTINS,ACTIVE                              ,2025-11-22-18.17.43.000000,,ANDREGIACOMELI
  ELIASMARTINS,INACTIVE                            ,2026-03-26-07.45.03.142000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELIASMARTINS,NEWREG                              ,2025-11-22-18.16.20.000000,,ITEAM
  ELIELSONDEJESUS,ACTIVE                              ,2025-08-11-18.29.38.000000,,VAGNERPEREIRA
  ELIELSONDEJESUS,INACTIVE                            ,2025-11-14-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELIELSONDEJESUS,NEWREG                              ,2025-08-11-18.28.40.000000,,ITEAM
  ELLENSANTOS,ACTIVE                              ,2022-06-27-11.04.42.000000,,ITEAM
  ELLENSANTOS,INACTIVE                            ,2022-08-17-06.00.50.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELOIORLANDINI,ACTIVE                              ,2023-08-24-14.28.31.000000,,ITEAM
  ELOIORLANDINI,INACTIVE                            ,2024-09-27-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELOIORLANDINI,ACTIVE                              ,2024-09-26-16.24.57.000000,Ticket#0374423 — Acesso ao Máximo HTQ e N06,ITEAM
  ELOIORLANDINI,INACTIVE                            ,2023-10-14-06.00.08.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELOIORLANDINI,INACTIVE                            ,2025-01-22-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELOIORLANDINI,ACTIVE                              ,2025-01-21-10.12.20.000000,,ITEAM
  ELTONDIAS,ACTIVE                              ,2025-06-30-19.37.50.000000,,ANDREGIACOMELI
  ELTONDIAS,ACTIVE                              ,2026-05-17-15.44.20.699000,,RAFAELLANA
  ELTONDIAS,INACTIVE                            ,2025-10-01-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELTONDIAS,NEWREG                              ,2025-06-29-16.04.32.000000,,ITEAM
  ELVISFRANCKYLYM,ACTIVE                              ,2026-02-24-13.06.35.692000,,ITEAM
  ELVISFRANCKYLYM,INACTIVE                            ,2026-06-03-07.45.04.610000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELYRENATO,NEWREG                              ,2026-04-08-19.25.06.792000,,MAXADMIN
  ELYRENATO,INACTIVE                            ,2026-05-29-07.45.06.582000,Usuario inativo por mais de 50 dias,MAXADMIN
