IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOPEDROSO,NEWREG                              ,2025-02-15-19.43.21.000000,,MAXADMIN
  ANDREJKUEHN,INACTIVE                            ,2024-11-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDRELUIZVILELA,INACTIVE                            ,2024-04-25-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ANDRELUIZVILELA,ACTIVE                              ,2024-04-10-12.54.28.000000,,RAPHAELBARBOSA
  ANDRELUIZVILELA,NEWREG                              ,2024-04-10-12.53.54.000000,,MAXADMIN
  ANDREMANHAES,ACTIVE                              ,2025-07-05-20.04.19.000000,,RENATOSOARES
  ANDREMANHAES,INACTIVE                            ,2025-09-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDREMANHAES,NEWREG                              ,2025-07-05-19.59.14.000000,,ITEAM
  ANDREMANHAES,ACTIVE                              ,2025-10-20-16.13.31.000000,,RENATOSOARES
  ANDREMANHAES,INACTIVE                            ,2026-03-26-07.45.02.356000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDREMONCAO,NEWREG                              ,2025-03-26-18.01.13.000000,,MAXADMIN
  ANDREPACHECO,NEWREG                              ,2026-03-29-04.38.09.822000,,MAXADMIN
  ANDREPACHECO,ACTIVE                              ,2026-03-29-04.38.44.501000,,LUIZFELIPE
  ANDREPACHECO,INACTIVE                            ,2026-05-19-07.45.02.616000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDREPESSANHA,NEWREG                              ,2026-02-21-19.51.46.012000,,ITEAM
  ANDREPESSANHA,INACTIVE                            ,2026-04-14-07.45.01.089000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDREPESSANHA,ACTIVE                              ,2026-02-21-20.04.43.388000,,LUIZFELIPE
  ANDREPINTO,ACTIVE                              ,2024-02-07-16.34.49.000000,,RAPHAELBARBOSA
  ANDREPINTO,INACTIVE                            ,2024-03-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDREPINTO,NEWREG                              ,2024-02-07-16.34.00.000000,,MAXADMIN
  ANDREREIS,INACTIVE                            ,2023-12-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDREREIS,ACTIVE                              ,2023-10-26-14.22.10.000000,,ITEAM
  ANDRERSOUZA,NEWREG                              ,2025-01-22-19.47.02.000000,,MAXADMIN
  ANDRERSOUZA,INACTIVE                            ,2025-03-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDRERSOUZA,ACTIVE                              ,2025-01-22-19.47.34.000000,,LUIZFELIPE
  ANDRESAMPAIO,NEWREG                              ,2025-11-21-19.54.11.000000,,ITEAM
  ANDRESAMPAIO,ACTIVE                              ,2025-11-21-20.00.11.000000,,RENATOSOARES
  ANDRESAMPAIO,INACTIVE                            ,2026-05-16-07.45.03.376000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDRESILVA,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  ANDRESILVA,ACTIVE                              ,2018-10-04-13.59.44.000000,,MAXADMIN
  ANDRESSAPRADO,INACTIVE                            ,2018-05-04-17.15.23.000000,Ticket#09157,MAXADMIN
  ANDRESSAPRADO,ACTIVE                              ,2017-12-04-17.56.16.000000,,MAXADMIN
  ANDRESSAPRADO,BLOCKED                             ,2017-12-05-08.28.28.000000,,MAXADMIN
  ANDRESSAPRADO,ACTIVE                              ,2017-12-05-10.00.31.000000,,MAXADOOG
  ANDRESSASILVA,ACTIVE                              ,2021-03-19-16.30.18.000000,,ITEAM
  ANDRESSASILVA,ACTIVE                              ,2021-06-17-10.37.57.000000,Ticket#0202303 — Acesso ao Máximo,ITEAM
  ANDRESSASILVA,INACTIVE                            ,2021-06-15-15.20.41.000000,,MAXADOOG
  ANDRESSASILVA,INACTIVE                            ,2021-08-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDRETTPORTO,NEWREG                              ,2026-01-30-06.00.47.962000,,ITEAM
  ANDRETTPORTO,INACTIVE                            ,2026-04-01-01.00.02.583000,Automatic Inativate expired user access,MAXADMIN
  ANDRETTPORTO,ACTIVE                              ,2026-03-31-19.03.48.451000,,LUIZFELIPE
  ANDRETTPORTO,INACTIVE                            ,2026-03-28-01.00.03.033000,Automatic Inativate expired user access,MAXADMIN
  ANDRETTPORTO,ACTIVE                              ,2026-03-27-14.27.48.276000,,LUIZFELIPE
  ANDRETTPORTO,INACTIVE                            ,2026-03-26-01.00.02.001000,Automatic Inativate expired user access,MAXADMIN
  ANDRETTPORTO,ACTIVE                              ,2026-03-25-16.45.11.356000,,LUIZFELIPE
  ANDRETTPORTO,INACTIVE                            ,2026-03-25-01.00.02.323000,Automatic Inativate expired user access,MAXADMIN
  ANDRETTPORTO,ACTIVE                              ,2026-03-24-10.03.59.603000,,LUIZFELIPE
  ANDRETTPORTO,INACTIVE                            ,2026-02-01-01.00.01.184000,Automatic Inativate expired user access,MAXADMIN
  ANDRETTPORTO,ACTIVE                              ,2026-01-31-14.54.41.600000,,LUIZFELIPE
  ANDRETTPORTO,INACTIVE                            ,2026-01-31-01.00.02.596000,Automatic Inativate expired user access,MAXADMIN
  ANDRETTPORTO,ACTIVE                              ,2026-01-30-06.01.15.680000,,LUIZFELIPE
  ANDRETTPORTO,ACTIVE                              ,2026-06-17-19.20.29.145000,,LUIZFELIPE
  ANDRETTPORTO,INACTIVE                            ,2026-06-19-01.00.01.075000,Automatic Inativate expired user access,MAXADMIN
  ANDRETTPORTO,ACTIVE                              ,2026-06-18-17.30.56.188000,,LUIZFELIPE
  ANDRETTPORTO,INACTIVE                            ,2026-06-18-01.00.01.088000,Automatic Inativate expired user access,MAXADMIN
  ANDREYPROLOPES,NEWREG                              ,2025-06-28-16.21.07.000000,,ITEAM
  ANDREYPROLOPES,INACTIVE                            ,2025-09-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANDREYPROLOPES,ACTIVE                              ,2025-06-28-16.22.02.000000,,RENATOSOARES
  ANDREZEGERS,ACTIVE                              ,2015-12-01-11.31.23.000000,,MAXADMIN
  ANDREZEGERS,INACTIVE                            ,2018-07-10-07.54.22.000000,Ticket#012590 - Processo de Desligamento- 09/07/18,JULINECAETANO
  ANDRZEJNIEWINSKI,INACTIVE                            ,2019-03-28-10.53.02.000000,Ticket#075096 — Liberação de Acesso ao MAXIMO,THIAGOFROES
  ANDRZEJNIEWINSKI,ACTIVE                              ,2019-03-20-17.35.14.000000,,THIAGOFROES
  ANDRZEJNIEWINSKI,ACTIVE                              ,2019-07-22-11.13.29.000000,Ticket#088241 — Capitão Andrzej Niewinski acesso para Maximo - ODN1,THIAGOFROES
  ANDRZEJNIEWINSKI,BLOCKED                             ,2026-01-29-06.41.27.134000,,MAXADMIN
  ANDRZEJNIEWINSKI,ACTIVE                              ,2026-02-26-06.46.27.324000,,MAXADMIN
  ANDRZEJNIEWINSKI,BLOCKED                             ,2026-02-26-06.42.11.917000,,MAXADMIN
  ANDRZEJNIEWINSKI,ACTIVE                              ,2026-01-29-10.34.45.932000,,MAXADMIN
  ANDRZEJNIEWINSKI,BLOCKED                             ,2026-01-29-10.29.48.760000,,MAXADMIN
  ANDRZEJNIEWINSKI,ACTIVE                              ,2026-01-29-06.44.45.954000,,MAXADMIN
  ANGELAMARIA,NEWREG                              ,2026-02-22-20.05.31.563000,,ITEAM
  ANGELAMARIA,INACTIVE                            ,2026-04-16-07.45.01.451000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANGELAMARIA,ACTIVE                              ,2026-02-22-20.13.37.322000,,LUIZFELIPE
  ANGELINAMARIA,NEWREG                              ,2025-01-12-07.23.24.000000,,MAXADMIN
  ANGELINAMARIAPESSANHA,NEWREG                              ,2025-01-12-07.23.11.000000,,MAXADMIN
  ANGELINAPESSANHA,NEWREG                              ,2025-01-12-07.24.55.000000,,MAXADMIN
  ANGELLORIBEIRO,ACTIVE                              ,2024-01-28-19.58.06.000000,,RAPHAELBARBOSA
  ANGELLORIBEIRO,NEWREG                              ,2024-01-28-19.57.01.000000,,MAXADMIN
  ANGELLORIBEIRO,INACTIVE                            ,2024-02-12-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ANGELOCESAR,NEWREG                              ,2026-02-26-13.13.30.362000,,MAXADMIN
  ANGELOCESAR,INACTIVE                            ,2026-04-18-07.45.02.116000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANGELOCESAR,ACTIVE                              ,2026-02-26-13.14.02.464000,,LUIZFELIPE
  ANGELOJOSE,ACTIVE                              ,2024-10-28-09.20.20.000000,,ITEAM
  ANGELOJOSE,INACTIVE                            ,2024-12-18-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANGELOSILVA,ACTIVE                              ,2023-08-25-13.55.10.000000,,ITEAM
  ANGELOSILVA,ACTIVE                              ,2024-07-29-12.13.38.000000,0367838,HELPDESK
  ANGELOSILVA,ACTIVE                              ,2024-11-27-15.12.50.000000,0379115,HELPDESK
  ANGELOSILVA,INACTIVE                            ,2024-07-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANGELOSILVA,INACTIVE                            ,2024-09-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANGELOSILVA,INACTIVE                            ,2025-01-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANGELOSILVA,ACTIVE                              ,2025-11-27-09.29.38.000000,2025112729000258,HELPDESK
  ANGELOSILVA,INACTIVE                            ,2025-11-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANISULLECORDEIR,ACTIVE                              ,2026-06-18-12.00.22.819000,,ITEAM
  ANNAGUIMARAES,NEWREG                              ,2024-07-19-19.33.14.000000,,MAXADMIN
  ANNAGUIMARAES,INACTIVE                            ,2024-09-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANNAGUIMARAES,ACTIVE                              ,2024-07-19-19.33.32.000000,,RAPHAELBARBOSA
  ANTONIO SERGIO GONÇALVES FILHO,ACTIVE                              ,2019-04-15-17.20.46.000000,Ticket#077242 — Acesso ao Máximo,THIAGOFROES
  ANTONIO SERGIO GONÇALVES FILHO,NEWREG                              ,2019-03-26-13.11.18.000000,,MAXREG
  ANTONIO SERGIO GONÇALVES FILHO,INACTIVE                            ,2019-07-02-14.31.24.000000,Ticket#086490 — ajustar personid de usuario,THIAGOFROES
  ANTONIO.GONCALVES,ACTIVE                              ,2023-08-24-14.12.58.000000,,ITEAM
  ANTONIOBARBOSA,NEWREG                              ,2026-06-20-09.37.00.053000,,MAXADMIN
  ANTONIOBARBOSA,ACTIVE                              ,2026-06-20-09.37.23.723000,,LUIZFELIPE
  ANTONIOCORTAL,ACTIVE                              ,2025-06-15-14.34.06.000000,,LUIZFELIPE
  ANTONIOCORTAL,NEWREG                              ,2025-06-15-14.18.39.000000,,ITEAM
  ANTONIOCORTAL,INACTIVE                            ,2025-08-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIODECARVALHO,NEWREG                              ,2025-05-22-19.04.53.000000,,ITEAM
  ANTONIODECARVALHO,INACTIVE                            ,2025-07-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIODECARVALHO,ACTIVE                              ,2025-05-22-19.05.25.000000,,LUIZFELIPE
  ANTONIOFERREIRA,ACTIVE                              ,2023-12-15-15.17.32.000000,,RAPHAELBARBOSA
  ANTONIOFERREIRA,NEWREG                              ,2023-12-15-13.47.12.000000,,MAXADMIN
  ANTONIOFERREIRA,INACTIVE                            ,2024-04-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIOFERREIRA,BLOCKED                             ,2024-01-09-15.58.03.000000,,MAXADMIN
  ANTONIOFERREIRA,ACTIVE                              ,2024-01-09-16.03.14.000000,,MAXADMIN
  ANTONIOFILHO,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  ANTONIOFILHO,ACTIVE                              ,2019-07-02-14.16.37.000000,,THIAGOFROES
  ANTONIOGOMBO,NEWREG                              ,2025-06-09-20.14.13.000000,,ITEAM
  ANTONIOGOMBO,INACTIVE                            ,2025-06-10-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ANTONIOGOMBO,ACTIVE                              ,2025-06-09-20.15.01.000000,,RENATOSOARES
  ANTONIOGOMES,NEWREG                              ,2025-07-27-19.37.52.000000,,ITEAM
  ANTONIOGOMES,ACTIVE                              ,2025-07-27-19.38.42.000000,,RENATOSOARES
  ANTONIOGOMES,INACTIVE                            ,2025-09-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIOMNETO,ACTIVE                              ,2024-07-17-19.44.38.000000,,LUIZFELIPE
  ANTONIOMNETO,INACTIVE                            ,2024-09-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIOMNETO,NEWREG                              ,2024-07-17-19.43.40.000000,,MAXADMIN
  ANTONIONUNES,NEWREG                              ,2025-07-12-19.39.52.000000,,ITEAM
  ANTONIONUNES,INACTIVE                            ,2025-09-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIONUNES,ACTIVE                              ,2025-07-12-19.40.22.000000,,LUIZFELIPE
  ANTONIONUNES,ACTIVE                              ,2025-10-09-16.46.04.000000,,LUIZFELIPE
  ANTONIONUNES,INACTIVE                            ,2026-03-26-07.45.02.123000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIONUNES,ACTIVE                              ,2026-05-25-13.45.11.819000,,LUIZFELIPE
  ANTONIOSOARES,ACTIVE                              ,2022-10-18-13.17.16.000000,,MAXADMIN
  ANTONIOSOARES,ACTIVE                              ,2022-09-22-14.24.44.000000,,ITEAM
  ANTONIOSOARES,BLOCKED                             ,2022-10-18-13.07.51.000000,,MAXADMIN
  ANTONIOTEIXEIRA,ACTIVE                              ,2024-08-07-14.41.18.000000,,ITEAM
  ANTONIOTEIXEIRA,INACTIVE                            ,2024-09-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIOVIANA,NEWREG                              ,2025-01-24-19.40.40.000000,,MAXADMIN
  ANTONIOVIANA,INACTIVE                            ,2025-03-16-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ANTONIOVIANA,ACTIVE                              ,2025-01-24-19.41.01.000000,,LUIZFELIPE
  ARIALDOSILVA,INACTIVE                            ,2023-12-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARIALDOSILVA,ACTIVE                              ,2023-10-26-14.23.44.000000,,ITEAM
  ARIALDOSILVA,ACTIVE                              ,2023-12-16-23.03.02.000000,,HELPDESK
  ARIALDOSILVA,INACTIVE                            ,2024-09-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARIELALCANTARA,INACTIVE                            ,2024-12-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARIELALCANTARA,ACTIVE                              ,2024-10-27-16.01.11.000000,,RAPHAELBARBOSA
  ARIELALCANTARA,NEWREG                              ,2024-10-27-16.00.28.000000,,MAXADMIN
  ARIELALCANTRA,NEWREG                              ,2025-01-27-17.21.12.000000,,MAXADMIN
  ARIELALCANTRA,INACTIVE                            ,2025-03-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARIELALCANTRA,ACTIVE                              ,2025-01-27-17.21.45.000000,,LUIZFELIPE
  ARIELSILVA,ACTIVE                              ,2025-01-27-15.27.18.000000,,ITEAM
  ARIELSILVA,NEWREG                              ,2025-01-25-19.02.17.000000,,MAXADMIN
  ARIELSILVA,INACTIVE                            ,2025-03-19-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARILSONMACHADO,ACTIVE                              ,2025-11-23-13.27.07.000000,,RENATOSOARES
  ARILSONMACHADO,INACTIVE                            ,2026-03-26-07.45.02.318000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARILSONMACHADO,NEWREG                              ,2025-11-23-13.23.51.000000,,ITEAM
  ARISTEUMELO,ACTIVE                              ,2013-12-05-11.39.36.000000,,MAXADMIN
  ARLISSONDANTAS,BLOCKED                             ,2024-06-06-07.03.33.000000,,MAXADMIN
  ARLISSONDANTAS,ACTIVE                              ,2024-06-06-06.55.57.000000,,RAPHAELBARBOSA
  ARLISSONDANTAS,ACTIVE                              ,2024-08-26-08.21.09.000000,Ticket#0371603 — Reset de senha - Maximo,ITEAM
  ARLISSONDANTAS,INACTIVE                            ,2024-08-13-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ARLISSONDANTAS,ACTIVE                              ,2024-06-06-07.10.49.000000,,MAXADMIN
  ARLISSONDANTAS,NEWREG                              ,2024-06-06-06.55.12.000000,,MAXADMIN
  ARLISSONDANTAS,ACTIVE                              ,2024-08-12-10.11.50.000000,Ticket#0369875 — Desbloqueio de conta Maximo,ITEAM
  ARLISSONDANTAS,INACTIVE                            ,2024-08-06-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ARLISSONDANTAS,INACTIVE                            ,2025-11-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARLISSONDANTAS,ACTIVE                              ,2025-12-09-09.51.43.423000,,LUIZFELIPE
  ARLISSONDANTAS,INACTIVE                            ,2026-05-09-07.45.03.628000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARMELBAKITA,NEWREG                              ,2026-06-22-19.20.41.652000,,MAXADMIN
  ARMELBAKITA,ACTIVE                              ,2026-06-22-19.24.44.765000,,LUIZFELIPE
  AROALDOCAMPOS,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  AROALDOCAMPOS,INACTIVE                            ,2022-10-17-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,INACTIVE                            ,2022-04-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,ACTIVE                              ,2023-10-25-10.35.16.000000,,MAXADOOG
  AROALDOCAMPOS,ACTIVE                              ,2022-05-30-20.24.28.000000,,MAXADOOG
  AROALDOCAMPOS,ACTIVE                              ,2023-08-28-08.38.12.000000,,MAXADOOG
  AROALDOCAMPOS,ACTIVE                              ,2022-11-01-14.12.45.000000,Ticket#0263122,HELPDESK
  AROALDOCAMPOS,ACTIVE                              ,2021-01-25-15.09.09.000000,,MAXADMIN
  AROALDOCAMPOS,BLOCKED                             ,2021-01-25-15.06.12.000000,,MAXADMIN
  AROALDOCAMPOS,ACTIVE                              ,2018-07-02-16.00.16.000000,,JULINECAETANO
  AROALDOCAMPOS,ACTIVE                              ,2020-11-19-18.31.41.000000,Ticket#0177267 — Senha máximo,MAXADOOG
  AROALDOCAMPOS,INACTIVE                            ,2023-07-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,INACTIVE                            ,2024-01-18-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,ACTIVE                              ,2024-02-08-15.51.37.000000,,MAXADOOG
  AROALDOCAMPOS,INACTIVE                            ,2023-10-22-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,INACTIVE                            ,2025-04-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,ACTIVE                              ,2025-02-14-10.10.37.000000,Ticket#2025021429000227 — Maximo expirado login do RigSup ODN1,HELPDESK
  AROALDOCAMPOS,ACTIVE                              ,2025-04-07-18.20.45.000000,,MAXADOOG
  AROALDOCAMPOS,INACTIVE                            ,2025-02-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,INACTIVE                            ,2026-04-06-07.45.01.485000,Usuario inativo por mais de 50 dias,MAXADMIN
  AROALDOCAMPOS,ACTIVE                              ,2026-06-05-09.00.15.394000,,HELPDESK
  ARTHURCARATIN,NEWREG                              ,2024-08-26-19.52.03.000000,,MAXADMIN
  ARTHURCARATIN,ACTIVE                              ,2024-10-27-20.19.15.000000,,RENATOSOARES
  ARTHURCARATIN,INACTIVE                            ,2024-12-28-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARTHURCARATIN,INACTIVE                            ,2024-10-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARTHURCARATIN,ACTIVE                              ,2024-08-26-19.53.01.000000,,RAPHAELBARBOSA
  ARTHURDOMECIOLI,INACTIVE                            ,2023-12-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARTHURDOMECIOLI,ACTIVE                              ,2023-10-26-14.24.12.000000,,ITEAM
  ARTHURDOMECIOLI,ACTIVE                              ,2023-12-26-10.23.35.000000,Ticket#0332244 — Acesso ao Máximo,ITEAM
  ARTHURDOMECIOLI,INACTIVE                            ,2024-02-17-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARTHURDOMECIOLI,ACTIVE                              ,2024-02-19-14.09.45.000000,Ticket#0341237 — Reset de senha MAXIMO.,HELPDESK
  ARTHURDOMECIOLI,INACTIVE                            ,2024-06-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARTHURDOMECIOLI,ACTIVE                              ,2024-10-07-12.43.50.000000,Ticket#0375139 — MAXIMO,HELPDESK
  ARTHURNOGUEIRA,ACTIVE                              ,2026-03-10-11.53.04.367000,,ITEAM
  ARTHURNOGUEIRA,INACTIVE                            ,2026-05-11-07.45.02.924000,Usuario inativo por mais de 50 dias,MAXADMIN
  ARYGSOUZA,ACTIVE                              ,2017-08-15-11.40.29.000000,,MAXADOOG
  ARYGSOUZA,ACTIVE                              ,2019-10-16-10.28.50.000000,Ticket#0100960 — Acesso Maximo - Sondas,THIAGOFROES
  ARYGSOUZA,INACTIVE                            ,2018-09-03-09.37.36.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  ARYGSOUZA,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  ASANTANA,ACTIVE                              ,2017-07-17-13.21.04.000000,,MAXADMIN
  ASANTANA,INACTIVE                            ,2019-01-25-16.33.00.000000,Inativando usuario que nao acessaram o sistema nos ultimos seis meses,MAXADOOG
  ATAIDESOUZA,NEWREG                              ,2025-12-08-19.35.20.578000,,ITEAM
  ATAIDESOUZA,INACTIVE                            ,2026-03-26-07.45.02.555000,Usuario inativo por mais de 50 dias,MAXADMIN
  ATAIDESOUZA,ACTIVE                              ,2025-12-08-19.36.30.267000,,LUIZFELIPE
  ATILANUNES,NEWREG                              ,2026-06-21-19.27.34.233000,,MAXADMIN
  ATILANUNES,ACTIVE                              ,2026-06-21-19.28.10.170000,,LUIZFELIPE
  AUGUSTOBRITO,ACTIVE                              ,2018-05-08-08.29.36.000000,,JULINECAETANO
  AUGUSTOBRITO,INACTIVE                            ,2019-01-25-16.33.00.000000,Inativando usuario que nao acessaram o sistema nos ultimos seis meses,MAXADOOG
  AUGUSTOFERREIRADOSSANTOS,NEWREG                              ,2024-05-16-19.06.15.000000,,MAXADMIN
  AUGUSTOPEREIRA,ACTIVE                              ,2021-07-27-10.31.20.000000,,ITEAM
  AUGUSTOPEREIRA,INACTIVE                            ,2022-03-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AUGUSTOSANTOS,NEWREG                              ,2024-05-16-19.05.52.000000,,MAXADMIN
  AUGUSTOSANTOSA,NEWREG                              ,2024-05-28-20.19.44.000000,,MAXADMIN
  AUGUSTOSANTOSAA,NEWREG                              ,2024-05-28-20.21.50.000000,,MAXADMIN
  AUGUSTOSANTOSAA,ACTIVE                              ,2024-05-28-20.23.00.000000,,LUIZFELIPE
  AUGUSTOSANTOSAA,INACTIVE                            ,2024-08-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AUGUSTOTEIXEIRA,NEWREG                              ,2025-08-09-15.36.32.000000,,ITEAM
  AUGUSTOTEIXEIRA,ACTIVE                              ,2025-08-09-16.02.01.000000,,LUIZFELIPE
  AUGUSTOTEIXEIRA,INACTIVE                            ,2025-10-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AUREOCARLOS,NEWREG                              ,2025-04-02-19.22.12.000000,,MAXADMIN
  AUREOCARLOS,INACTIVE                            ,2025-06-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AUREOCARLOS,ACTIVE                              ,2025-04-02-19.22.56.000000,,RENATOSOARES
  AUREOCARLOS,ACTIVE                              ,2026-03-28-17.54.44.569000,,LUIZFELIPE
  AUREOCARLOS,INACTIVE                            ,2026-05-18-07.45.03.356000,Usuario inativo por mais de 50 dias,MAXADMIN
  BAHJATHAMMAD,ACTIVE                              ,2016-05-30-13.17.43.000000,,JULINECAETANO
  BAHJATHAMMAD,INACTIVE                            ,2022-06-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  BAPTISTAMATHEUS,NEWREG                              ,2024-04-21-19.35.31.000000,,MAXADMIN
  BAPTISTAMATHEUS,ACTIVE                              ,2024-04-21-19.36.32.000000,,RAPHAELBARBOSA
  BAPTISTAMATHEUS,INACTIVE                            ,2024-06-16-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  BARCELOSANDERSON,NEWREG                              ,2025-04-17-16.06.14.000000,,MAXADMIN
  BARCELOSANDERSON,INACTIVE                            ,2025-06-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  BARCELOSANDERSON,ACTIVE                              ,2025-04-17-16.10.46.000000,,LUIZFELIPE
  BARTHOORNAERT,ACTIVE                              ,2017-11-26-11.01.30.000000,,MAXADOOG
  BARTHOORNAERT,INACTIVE                            ,2019-01-25-16.33.00.000000,Inativando usuario que nao acessaram o sistema nos ultimos seis meses,MAXADOOG
  BBARROS,NEWREG                              ,2026-01-05-19.25.58.053000,,ITEAM
  BBARROS,INACTIVE                            ,2026-03-26-07.45.02.913000,Usuario inativo por mais de 50 dias,MAXADMIN
  BBARROS,ACTIVE                              ,2026-01-05-19.26.37.846000,,LUIZFELIPE
  BEATRIZOUVERNEY,ACTIVE                              ,2024-01-16-12.46.59.000000,,MAXADOOG
  BEATRIZOUVERNEY,INACTIVE                            ,2024-02-27-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  BEATRIZOUVERNEY,ACTIVE                              ,2024-02-26-09.52.29.000000,Ticket#0342264 — Reset Senha Maximo,ITEAM
  BEATRIZOUVERNEY,ACTIVE                              ,2024-02-15-09.06.19.000000,Ticket#0340531 — Erro no acesso ao Máximo.,ITEAM
  BEATRIZOUVERNEY,NEWREG                              ,2024-01-16-07.33.54.000000,,MAXADMIN
  BEATRIZOUVERNEY,INACTIVE                            ,2024-02-16-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  BEATRIZOUVERNEY,INACTIVE                            ,2024-01-31-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  BEATRIZOUVERNEY,ACTIVE                              ,2024-07-04-14.18.22.000000,Ticket#0364276 — Acesso MAXIMO,ITEAM
