IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AAMEDEIROS,NEWREG                              ,2024-06-10-09.34.18.000000,,MAXADMIN
  EVANDOROCHA,ACTIVE                              ,2024-01-05-16.12.23.000000,,SINVALJUNIOR
  EVELYNCOUTINHO,NEWREG                              ,2025-04-20-17.49.53.000000,,MAXADMIN
  EVELYNCOUTINHO,INACTIVE                            ,2025-06-28-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  EVELYNCOUTINHO,ACTIVE                              ,2025-04-20-17.50.39.000000,,SINVALJUNIOR
  EVERTONSBARRETO,NEWREG                              ,2024-07-27-03.48.01.000000,,MAXADMIN
  EVERTONSBARRETO,INACTIVE                            ,2024-09-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EVERTONSBARRETO,ACTIVE                              ,2024-07-27-03.48.43.000000,,FELIPEPAIXAO
  EWERSONROCHA,ACTIVE                              ,2023-03-27-19.05.03.000000,,ITEAM
  FABBIOLEITE,ACTIVE                              ,2018-03-02-18.16.02.000000,,MAXADMIN
  FABBIOLEITE,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  FABBIOLEITE,ACTIVE                              ,2023-05-09-14.52.56.000000,,MAXADOOG
  FABBIOLEITE,INACTIVE                            ,2023-08-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABBIOLEITE,ACTIVE                              ,2020-05-26-14.37.13.000000,,MAXADOOG
  FABBIOLEITE,INACTIVE                            ,2021-02-26-08.45.15.000000,Usuarios sem acessar o sistema,MAXADOOG
  FABIANOCUNHA,ACTIVE                              ,2021-11-22-16.15.13.000000,,ITEAM
  FABIANOCUNHA,INACTIVE                            ,2022-01-24-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIANOGAMA,ACTIVE                              ,2024-10-14-13.00.36.000000,,SINVALJUNIOR
  FABIANOGAMA,NEWREG                              ,2024-10-14-13.00.09.000000,,MAXADMIN
  FABIANOGAMA,INACTIVE                            ,2024-12-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIANOLIBARDI,ACTIVE                              ,2014-05-07-08.35.57.000000,,MAXADMIN
  FABIANOLIBARDI,BLOCKED                             ,2017-06-05-21.41.13.000000,,MAXADMIN
  FABIANOLIBARDI,INACTIVE                            ,2023-07-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIANOLIBARDI,ACTIVE                              ,2023-12-07-13.28.33.000000,,HELPDESK
  FABIANOLIBARDI,ACTIVE                              ,2023-08-20-11.17.24.000000,Ticket#0311246,HELPDESK
  FABIANOLIBARDI,INACTIVE                            ,2023-11-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIANOLIBARDI,ACTIVE                              ,2017-09-18-20.33.52.000000,,HELPDESK
  FABIANOSSILVA,ACTIVE                              ,2018-07-09-11.27.42.000000,,JULINECAETANO
  FABIANOSSILVA,INACTIVE                            ,2020-03-06-14.50.23.000000,Ticket#083962 — Rescisão Contratual - 07/06/2019,JULINECAETANO
  FABIOARAUJO,ACTIVE                              ,2024-11-12-06.33.50.000000,,SINVALJUNIOR
  FABIOARAUJO,INACTIVE                            ,2025-01-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOARAUJO,NEWREG                              ,2024-11-12-06.33.18.000000,,MAXADMIN
  FABIOBARBOSA,NEWREG                              ,2026-06-22-14.10.35.701000,,MAXADMIN
  FABIOBARBOSA,ACTIVE                              ,2026-06-22-14.15.25.393000,,SINVALJUNIOR
  FABIOBATISTA,ACTIVE                              ,2025-04-20-16.10.00.000000,,SINVALJUNIOR
  FABIOBATISTA,INACTIVE                            ,2025-06-28-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FABIOBATISTA,NEWREG                              ,2025-04-20-16.06.43.000000,,MAXADMIN
  FABIOCRUZ,ACTIVE                              ,2024-10-26-16.55.59.000000,,FELIPEPAIXAO
  FABIOCRUZ,NEWREG                              ,2024-10-26-15.14.39.000000,,MAXADMIN
  FABIOCRUZ,INACTIVE                            ,2024-11-09-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FABIOCRUZDA,NEWREG                              ,2024-10-26-15.33.14.000000,,MAXADMIN
  FABIOFERREIRA,INACTIVE                            ,2023-12-29-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FABIOFERREIRA,ACTIVE                              ,2023-12-25-17.59.37.000000,,FELIPEPAIXAO
  FABIOFERREIRA,NEWREG                              ,2023-12-25-15.58.47.000000,,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2014-04-09-19.54.26.000000,,MAXADMIN
  FABIOFIGUEIRA,BLOCKED                             ,2017-02-03-14.42.29.000000,,MAXADMIN
  FABIOFIGUEIRA,INACTIVE                            ,2024-07-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2024-03-07-11.23.45.000000,0344894,HELPDESK
  FABIOFIGUEIRA,INACTIVE                            ,2023-08-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2022-12-30-16.39.34.000000,0270049,HELPDESK
  FABIOFIGUEIRA,INACTIVE                            ,2023-12-27-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2023-09-05-15.45.05.000000,Ticket#0314159,HELPDESK
  FABIOFIGUEIRA,INACTIVE                            ,2022-12-15-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2022-01-10-16.25.55.000000,,MAXADOOG
  FABIOFIGUEIRA,BLOCKED                             ,2022-01-10-16.25.17.000000,,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2022-01-06-11.04.01.000000,,MAXADOOG
  FABIOFIGUEIRA,INACTIVE                            ,2021-12-12-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2017-02-03-14.48.01.000000,,MAXADOOG
  FABIOFIGUEIRA,INACTIVE                            ,2025-05-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,INACTIVE                            ,2026-05-13-07.45.00.458000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2026-03-23-10.02.09.407000,Ticket#2026032029000613 — resetar senha maximo ODN2,ITEAM
  FABIOFIGUEIRA,ACTIVE                              ,2025-07-03-15.01.01.000000,2025070329000453,HELPDESK
  FABIOFIGUEIRA,INACTIVE                            ,2025-07-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOFIGUEIRA,ACTIVE                              ,2025-04-09-09.08.26.000000,,MAXADOOG
  FABIOFONSECA,BLOCKED                             ,2021-11-20-10.52.10.000000,,MAXADMIN
  FABIOFONSECA,ACTIVE                              ,2022-01-25-15.38.42.000000,,MAXADMIN
  FABIOFONSECA,ACTIVE                              ,2021-11-20-10.55.33.000000,,MAXADMIN
  FABIOFONSECA,ACTIVE                              ,2021-10-26-15.40.54.000000,,ITEAM
  FABIOFONSECA,BLOCKED                             ,2022-01-25-15.38.27.000000,,MAXADMIN
  FABIOFONSECA,INACTIVE                            ,2025-08-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOGEAN,NEWREG                              ,2024-09-21-08.29.42.000000,,MAXADMIN
  FABIOGEAN,INACTIVE                            ,2024-11-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOGEAN,ACTIVE                              ,2024-09-21-16.04.13.000000,,FELIPEPAIXAO
  FABIOKALLEL,NEWREG                              ,2026-03-10-10.06.49.865000,,MAXADMIN
  FABIOKALLEL,INACTIVE                            ,2026-05-10-07.45.00.917000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOKALLEL,ACTIVE                              ,2026-03-10-10.11.32.824000,,FELIPEPAIXAO
  FABIOLIMA,NEWREG                              ,2024-06-26-13.11.41.000000,,MAXADMIN
  FABIOLIMA,INACTIVE                            ,2024-08-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOLIMA,ACTIVE                              ,2024-06-26-13.12.18.000000,,SINVALJUNIOR
  FABIOPIRES,ACTIVE                              ,2019-01-16-18.00.26.000000,,MAXADMIN
  FABIOPIRES,INACTIVE                            ,2019-09-06-17.03.33.000000,,MAXADOOG
  FABIOPONTES,NEWREG                              ,2024-08-25-10.20.53.000000,,MAXADMIN
  FABIOPONTES,INACTIVE                            ,2024-10-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOPONTES,ACTIVE                              ,2024-08-25-10.21.44.000000,,FELIPEPAIXAO
  FABIORAUL,NEWREG                              ,2026-03-10-13.29.26.611000,,MAXADMIN
  FABIORAUL,INACTIVE                            ,2026-04-30-07.45.00.901000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIORAUL,ACTIVE                              ,2026-03-10-13.35.02.798000,,FELIPEPAIXAO
  FABIORITA,INACTIVE                            ,2019-01-25-16.39.08.000000,Inativando usuarios que nao acessaram nos ultimos seis meses,MAXADOOG
  FABIORITA,ACTIVE                              ,2019-01-28-17.40.32.000000,,MAXADOOG
  FABIORITA,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  FABIORITA,ACTIVE                              ,2019-01-21-14.56.07.000000,,MAXADMIN
  FABIORODRIGUES,NEWREG                              ,2024-09-15-06.48.10.000000,,MAXADMIN
  FABIORODRIGUES,INACTIVE                            ,2024-12-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIORODRIGUES,ACTIVE                              ,2024-09-15-07.02.41.000000,,SINVALJUNIOR
  FABIOSARAIVA,NEWREG                              ,2026-03-10-14.03.25.548000,,MAXADMIN
  FABIOSARAIVA,INACTIVE                            ,2026-04-30-07.45.00.921000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOSARAIVA,ACTIVE                              ,2026-03-10-14.04.45.024000,,FELIPEPAIXAO
  FABIOSILVA,ACTIVE                              ,2014-11-04-11.31.32.000000,,MAXADMIN
  FABIOSILVA,BLOCKED                             ,2023-03-15-02.37.23.000000,,MAXADMIN
  FABIOSILVA,ACTIVE                              ,2023-03-15-02.40.15.000000,,MAXADMIN
  FABIOSILVEIRA,INACTIVE                            ,2026-07-03-07.45.01.075000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOSILVEIRA,ACTIVE                              ,2026-05-13-07.36.37.212000,,FELIPEPAIXAO
  FABIOSILVEIRA,NEWREG                              ,2026-05-13-07.34.47.530000,,MAXADMIN
  FABIOSOUZA,BLOCKED                             ,2019-01-29-07.15.13.000000,,MAXADMIN
  FABIOSOUZA,ACTIVE                              ,2019-06-26-19.31.19.000000,,MAXADMIN
  FABIOSOUZA,ACTIVE                              ,2019-01-18-10.40.46.000000,,MAXADMIN
  FABIOSOUZA,BLOCKED                             ,2019-06-26-19.27.03.000000,,MAXADMIN
  FABIOSOUZA,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  FABIOSOUZA,ACTIVE                              ,2019-01-29-07.19.39.000000,,MAXADMIN
  FABIOTAROCO,ACTIVE                              ,2025-11-11-11.34.02.000000,,SINVALJUNIOR
  FABIOTAROCO,INACTIVE                            ,2026-03-26-07.45.00.892000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOTAROCO,NEWREG                              ,2025-11-11-11.32.57.000000,,ITEAM
  FABIOVINHOSA,ACTIVE                              ,2023-12-22-07.33.47.000000,,FELIPEPAIXAO
  FABIOVINHOSA,INACTIVE                            ,2024-02-12-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABIOVINHOSA,NEWREG                              ,2023-12-22-07.31.02.000000,,MAXADMIN
  FABRICIOAFONSO,ACTIVE                              ,2023-01-23-14.12.49.000000,,ITEAM
  FABRICIOAFONSO,INACTIVE                            ,2023-08-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOCSILVA,NEWREG                              ,2026-04-16-14.59.24.193000,,MAXADMIN
  FABRICIOCSILVA,INACTIVE                            ,2026-06-18-07.45.00.766000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOCSILVA,ACTIVE                              ,2026-04-16-15.00.50.556000,,FELIPEPAIXAO
  FABRICIOESTEVES,ACTIVE                              ,2016-03-03-15.10.44.000000,,MAXADMIN
  FABRICIOESTEVES,ACTIVE                              ,2022-12-21-11.31.43.000000,Ticket#0268957,HELPDESK
  FABRICIOESTEVES,INACTIVE                            ,2022-09-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOESTEVES,INACTIVE                            ,2021-02-26-08.45.15.000000,Usuarios sem acessar o sistema,MAXADOOG
  FABRICIOESTEVES,ACTIVE                              ,2021-11-03-16.44.31.000000,,ITEAM
  FABRICIOGONCALVES,NEWREG                              ,2025-04-20-19.02.36.000000,,MAXADMIN
  FABRICIOGONCALVESP,NEWREG                              ,2025-04-20-19.02.43.000000,,MAXADMIN
  FABRICIOGP,NEWREG                              ,2024-06-10-16.31.17.000000,,MAXADMIN
  FABRICIOGP,INACTIVE                            ,2024-08-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOGP,ACTIVE                              ,2024-06-10-16.33.04.000000,,SINVALJUNIOR
  FABRICIOGPEREIRA,NEWREG                              ,2024-06-06-19.52.53.000000,,MAXADMIN
  FABRICIOGPEREIRA,INACTIVE                            ,2024-07-31-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOGPEREIRA,ACTIVE                              ,2024-06-06-19.54.20.000000,,SINVALJUNIOR
  FABRICIOGPEREIRA,ACTIVE                              ,2024-06-08-06.35.56.000000,,MAXADMIN
  FABRICIOGPEREIRA,BLOCKED                             ,2024-06-08-06.29.51.000000,,MAXADMIN
  FABRICIOMARIA,NEWREG                              ,2023-11-29-06.24.39.000000,,MAXADMIN
  FABRICIOMARIA,INACTIVE                            ,2024-02-13-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOMARIA,BLOCKED                             ,2023-11-29-08.24.07.000000,,MAXADMIN
  FABRICIOMARIA,ACTIVE                              ,2023-11-29-08.27.00.000000,,MAXADMIN
  FABRICIOMARIA,ACTIVE                              ,2023-11-29-08.04.10.000000,,FELIPEPAIXAO
  FABRICIOMARIAS,NEWREG                              ,2023-12-24-13.03.08.000000,,MAXADMIN
  FABRICIOMARIAS,INACTIVE                            ,2024-04-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOMARIAS,ACTIVE                              ,2023-12-24-13.03.35.000000,,FELIPEPAIXAO
  FABRICIOMATTOS,ACTIVE                              ,2024-11-09-16.07.46.000000,,SINVALJUNIOR
  FABRICIOMATTOS,INACTIVE                            ,2024-12-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOMATTOS,NEWREG                              ,2024-11-09-16.05.44.000000,,MAXADMIN
  FABRICIOPALMEIRA,ACTIVE                              ,2025-07-26-13.26.37.000000,,SINVALJUNIOR
  FABRICIOPALMEIRA,INACTIVE                            ,2026-03-26-07.45.00.752000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOPALMEIRA,NEWREG                              ,2025-07-25-09.17.01.000000,,ITEAM
  FABRICIOPEREIRA,NEWREG                              ,2025-04-20-19.06.16.000000,,MAXADMIN
  FABRICIOPEREIRA,ACTIVE                              ,2025-04-21-09.55.41.000000,,SINVALJUNIOR
  FABRICIOPEREIRA,INACTIVE                            ,2025-06-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOPG,NEWREG                              ,2025-04-20-19.08.57.000000,,MAXADMIN
  FABRICIOPG,INACTIVE                            ,2025-07-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRICIOPG,ACTIVE                              ,2025-05-17-16.48.13.000000,,MAXADMIN
  FABRICIOPG,BLOCKED                             ,2025-05-17-16.43.40.000000,,MAXADMIN
  FABRICIOPG,ACTIVE                              ,2025-04-20-19.11.41.000000,,SINVALJUNIOR
  FABRICIOPIEKALA,ACTIVE                              ,2017-07-17-11.45.06.000000,,MAXADMIN
  FABRICIOPIEKALA,INACTIVE                            ,2019-01-25-16.39.08.000000,Inativando usuarios que nao acessaram nos ultimos seis meses,MAXADOOG
  FABRICIOSILVA,ACTIVE                              ,2023-02-02-16.17.17.000000,,ITEAM
  FABRICIOSILVA,INACTIVE                            ,2023-10-19-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FABRIZIOSOBRINHO,ACTIVE                              ,2017-12-21-11.00.10.000000,,MAXADOOG
  FABRIZIOSOBRINHO,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  FABRIZIOSOBRINHO,INACTIVE                            ,2017-12-21-07.52.35.000000,Ticket#00740 - Revisão de perfis Coordenador de Materiais,JULINECAETANO
  FABRIZIOSOBRINHO,ACTIVE                              ,2016-06-23-15.18.43.000000,,MAXADOOG
  FAFERREIRA,ACTIVE                              ,2024-06-11-06.50.41.000000,,SINVALJUNIOR
  FAFERREIRA,INACTIVE                            ,2024-08-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FAFERREIRA,NEWREG                              ,2024-06-11-06.50.08.000000,,MAXADMIN
  FAGNERVIEIRAPONTES,ACTIVE                              ,2024-04-18-15.53.12.000000,,SINVALJUNIOR
  FAGNERVIEIRAPONTES,INACTIVE                            ,2024-06-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FAGNERVIEIRAPONTES,NEWREG                              ,2024-04-18-15.38.01.000000,,MAXADMIN
  FARIAVALTENCI,NEWREG                              ,2025-03-17-07.06.40.000000,,MAXADMIN
  FARIAVALTENCI,ACTIVE                              ,2025-03-21-16.52.03.000000,,SINVALJUNIOR
  FARIAVALTENCI,INACTIVE                            ,2025-05-06-19.58.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEANDRADE,ACTIVE                              ,2025-01-10-22.22.27.000000,,FELIPEPAIXAO
  FELIPEANDRADE,INACTIVE                            ,2025-03-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEANDRADE,NEWREG                              ,2025-01-10-22.22.00.000000,,MAXADMIN
  FELIPEANDRESANTOS,NEWREG                              ,2025-05-21-10.01.06.000000,,ITEAM
  FELIPEANDRESANTOS,INACTIVE                            ,2025-07-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEANDRESANTOS,ACTIVE                              ,2025-05-21-10.01.51.000000,,SINVALJUNIOR
  FELIPEGOMES,ACTIVE                              ,2025-11-05-21.21.25.000000,,SINVALJUNIOR
  FELIPEGOMES,NEWREG                              ,2025-11-05-21.21.05.000000,,ITEAM
  FELIPEGOMESS,ACTIVE                              ,2024-01-20-10.33.11.000000,,FELIPEPAIXAO
  FELIPEGOMESS,INACTIVE                            ,2024-06-02-14.47.44.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEGOMESS,NEWREG                              ,2024-01-20-10.32.45.000000,,MAXADMIN
  FELIPELEAL,ACTIVE                              ,2025-12-18-11.07.11.991000,,ITEAM
  FELIPELEAL,INACTIVE                            ,2026-03-26-07.45.01.349000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPELVALADARES,ACTIVE                              ,2024-09-28-17.10.40.000000,,FELIPEPAIXAO
  FELIPELVALADARES,NEWREG                              ,2024-09-28-17.00.31.000000,,MAXADMIN
  FELIPELVALADARES,INACTIVE                            ,2025-01-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEMENEZES,ACTIVE                              ,2018-08-02-18.21.08.000000,,MAXADOOG
  FELIPEMENEZES,ACTIVE                              ,2020-11-25-12.43.04.000000,,MAXADMIN
  FELIPEMENEZES,BLOCKED                             ,2020-11-25-12.41.38.000000,,MAXADMIN
  FELIPEMENEZES,INACTIVE                            ,2026-06-27-07.45.01.264000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEMMONTEIRO,NEWREG                              ,2024-02-02-22.17.09.000000,,MAXADMIN
  FELIPEMMONTEIRO,INACTIVE                            ,2024-02-16-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FELIPEMMONTEIRO,ACTIVE                              ,2024-02-03-09.34.36.000000,,SINVALJUNIOR
  FELIPEMONT,NEWREG                              ,2025-02-02-08.01.33.000000,,MAXADMIN
  FELIPEMONT,ACTIVE                              ,2025-02-02-08.02.51.000000,,SINVALJUNIOR
  FELIPEMONT,INACTIVE                            ,2025-03-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEMONTEIRO,NEWREG                              ,2025-01-08-17.03.31.000000,,MAXADMIN
  FELIPEMONTEIRO,INACTIVE                            ,2025-03-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEMONTEIRO,ACTIVE                              ,2025-01-08-17.04.12.000000,,SINVALJUNIOR
  FELIPEPAIXAO,ACTIVE                              ,2014-03-30-15.32.40.000000,,MAXADMIN
  FELIPEPIZZO,NEWREG                              ,2026-06-16-12.20.12.816000,,MAXADMIN
  FELIPEPIZZO,ACTIVE                              ,2026-06-16-12.21.07.755000,,SINVALJUNIOR
  FELIPERIBEIRO,ACTIVE                              ,2022-10-19-13.00.04.000000,,ITEAM
  FELIPERIBEIRO,INACTIVE                            ,2022-12-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPEROMANO,INACTIVE                            ,2018-01-25-13.49.04.000000,Ticket#03512,JULINECAETANO
  FELIPEROMANO,ACTIVE                              ,2017-11-27-18.21.34.000000,,MAXADMIN
  FELIPESUHETT,NEWREG                              ,2024-11-22-00.01.19.000000,,MAXADMIN
  FELIPESUHETT,INACTIVE                            ,2025-01-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIPESUHETT,ACTIVE                              ,2024-11-22-00.02.37.000000,,FELIPEPAIXAO
  FELIPEVALADARES,NEWREG                              ,2024-11-23-15.47.27.000000,,MAXADMIN
  FELIPEVALADARES,INACTIVE                            ,2024-12-23-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FELIPEVALADARES,ACTIVE                              ,2024-11-23-15.52.03.000000,,FELIPEPAIXAO
  FELIXDALADIER,NEWREG                              ,2024-03-18-07.04.48.000000,,MAXADMIN
  FELIXDALADIER,INACTIVE                            ,2024-09-29-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELIXDALADIER,ACTIVE                              ,2024-03-18-07.05.16.000000,,FELIPEPAIXAO
  FELLIPEBRALWER,NEWREG                              ,2026-02-09-14.18.32.669000,,ITEAM
  FELLIPEBRALWER,INACTIVE                            ,2026-04-14-07.45.01.123000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELLIPEBRALWER,ACTIVE                              ,2026-02-09-14.19.41.461000,,FELIPEPAIXAO
  FELYPESILVA,ACTIVE                              ,2021-03-04-11.17.28.000000,,ITEAM
  FELYPESILVA,BLOCKED                             ,2024-11-12-18.52.51.000000,,MAXADMIN
  FELYPESILVA,ACTIVE                              ,2024-11-12-18.57.53.000000,,MAXADMIN
  FELYPESILVA,INACTIVE                            ,2023-07-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELYPESILVA,ACTIVE                              ,2022-09-12-13.02.41.000000,,ITEAM
  FELYPESILVA,ACTIVE                              ,2023-07-15-11.49.26.000000,,HELPDESK
  FELYPESILVA,ACTIVE                              ,2022-12-30-07.21.03.000000,,HELPDESK
  FELYPESILVA,INACTIVE                            ,2022-12-20-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELYPESILVA,INACTIVE                            ,2021-10-27-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELYPESILVA,ACTIVE                              ,2021-10-04-09.31.30.000000,0214871 — Desbloqueio de senha do sistema maximo,ITEAM
  FELYPESILVA,INACTIVE                            ,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELYPESILVA,ACTIVE                              ,2025-04-12-06.40.03.000000,,MAXADMIN
  FELYPESILVA,ACTIVE                              ,2026-05-15-20.08.26.307000,,MAXADMIN
  FELYPESILVA,BLOCKED                             ,2026-05-15-20.03.36.927000,,MAXADMIN
  FELYPESILVA,ACTIVE                              ,2026-04-10-21.22.48.420000,,HELPDESK
  FELYPESILVA,INACTIVE                            ,2026-03-26-07.45.00.373000,Usuario inativo por mais de 50 dias,MAXADMIN
  FELYPESILVA,BLOCKED                             ,2025-11-29-06.52.51.000000,,MAXADMIN
  FELYPESILVA,ACTIVE                              ,2025-11-29-06.57.36.000000,,MAXADMIN
  FELYPESILVA,BLOCKED                             ,2025-04-12-06.39.11.000000,,MAXADMIN
  FERLUISRAMOS,NEWREG                              ,2024-06-18-13.12.02.000000,,MAXADMIN
  FERNADINSMARTINS,INACTIVE                            ,2025-09-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FERNADINSMARTINS,ACTIVE                              ,2025-07-14-06.58.35.000000,,SINVALJUNIOR
  FERNADINSMARTINS,NEWREG                              ,2025-07-14-06.56.07.000000,,ITEAM
  FERNANDAAREAS,ACTIVE                              ,2024-01-25-11.14.32.000000,,ITEAM
  FERNANDAAREAS,INACTIVE                            ,2024-03-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FERNANDARUBIM,ACTIVE                              ,2020-10-09-15.34.00.000000,,VANIASANTOS
  FERNANDARUBIM,INACTIVE                            ,2022-10-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  FERNANDESANGELO,NEWREG                              ,2024-10-12-11.01.46.000000,,MAXADMIN
  FERNANDESJOSE,NEWREG                              ,2024-10-12-11.01.32.000000,,MAXADMIN
  FERNANDESRODRIGO,NEWREG                              ,2025-02-22-15.52.14.000000,,MAXADMIN
  FERNANDESRODRIGO,INACTIVE                            ,2025-02-23-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FERNANDESRODRIGO,ACTIVE                              ,2025-02-22-16.04.39.000000,,SINVALJUNIOR
  FERNANDESVALDIRLEY,NEWREG                              ,2025-02-24-07.06.12.000000,,MAXADMIN
  FERNANDESVALDIRLEY,INACTIVE                            ,2025-03-09-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FERNANDESVALDIRLEY,ACTIVE                              ,2025-02-24-07.09.39.000000,,SINVALJUNIOR
  FERNANDLUISRA,NEWREG                              ,2024-06-18-13.10.50.000000,,MAXADMIN
  FERNANDOCARLOS,INACTIVE                            ,2025-01-15-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FERNANDOCARLOS,INACTIVE                            ,2025-01-14-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  FERNANDOCARLOS,ACTIVE                              ,2025-01-13-13.20.50.000000,,FELIPEPAIXAO
  FERNANDOCARLOS,ACTIVE                              ,2025-01-14-07.21.14.000000,,FELIPEPAIXAO
