IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AANDREZACSANTOS,NEWREG                              ,2025-03-26-18.07.08.000000,,MAXADMIN
  DANIELARAO,INACTIVE                            ,2024-09-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELARAO,BLOCKED                             ,2024-01-16-22.14.03.000000,,MAXADMIN
  DANIELARAO,ACTIVE                              ,2024-01-16-22.17.57.000000,,MAXADMIN
  DANIELARAO,ACTIVE                              ,2023-12-23-15.17.50.000000,,MAXADMIN
  DANIELARAO,BLOCKED                             ,2023-12-23-15.16.18.000000,,MAXADMIN
  DANIELARAO,ACTIVE                              ,2025-09-26-09.25.17.000000,,HELPDESK
  DANIELARAO,INACTIVE                            ,2025-07-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELCARNEIRO,INACTIVE                            ,2024-08-31-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  DANIELCARNEIRO,ACTIVE                              ,2024-08-25-17.40.26.000000,,MAXADMIN
  DANIELCARNEIRO,BLOCKED                             ,2024-08-25-17.36.06.000000,,MAXADMIN
  DANIELCARNEIRO,ACTIVE                              ,2024-05-09-20.35.32.000000,,CAROLINABRAGA
  DANIELCARNEIRO,INACTIVE                            ,2024-07-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELCARNEIRO,NEWREG                              ,2024-05-09-20.34.29.000000,,MAXADMIN
  DANIELCARNEIRO,ACTIVE                              ,2024-08-01-13.24.46.000000,Ticket#0368537 — Reset de senha MAXIMO.,HELPDESK
  DANIELCARVALHO ,NEWREG                              ,2025-12-17-14.59.57.369000,,ITEAM
  DANIELCARVALHO ,INACTIVE                            ,2026-04-08-10.55.17.988000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELCARVALHO ,ACTIVE                              ,2025-12-19-11.48.42.053000,,CAROLINABRAGA
  DANIELDOSSANTOS,INACTIVE                            ,2024-06-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELDOSSANTOS,INACTIVE                            ,2024-08-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELDOSSANTOS,ACTIVE                              ,2024-06-14-20.23.33.000000,0361542,HELPDESK
  DANIELDOSSANTOS,ACTIVE                              ,2024-04-19-10.08.34.000000,,ITEAM
  DANIELECCARD,NEWREG                              ,2026-01-14-20.39.17.260000,,ITEAM
  DANIELECCARD,INACTIVE                            ,2026-04-08-10.55.19.674000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELECCARD,ACTIVE                              ,2026-01-19-19.20.35.314000,,CAROLINABRAGA
  DANIELECCARD,INACTIVE                            ,2026-01-19-01.00.02.762000,Automatic Inativate expired user access,MAXADMIN
  DANIELECCARD,ACTIVE                              ,2026-01-18-05.53.09.977000,,CAROLINABRAGA
  DANIELECCARD,INACTIVE                            ,2026-01-18-01.00.02.975000,Automatic Inativate expired user access,MAXADMIN
  DANIELECCARD,ACTIVE                              ,2026-01-17-07.03.52.452000,,CAROLINABRAGA
  DANIELECCARD,INACTIVE                            ,2026-01-16-01.00.02.903000,Automatic Inativate expired user access,MAXADMIN
  DANIELECCARD,ACTIVE                              ,2026-01-15-10.29.24.465000,,CAROLINABRAGA
  DANIELFERREIRA,NEWREG                              ,2024-10-06-13.57.34.000000,,MAXADMIN
  DANIELFERREIRA,INACTIVE                            ,2024-11-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELFERREIRA,ACTIVE                              ,2024-10-06-14.00.10.000000,,SOCRATESREIS
  DANIELFERREIRA,NEWREG                              ,2026-06-22-16.31.51.191000,,MAXADMIN
  DANIELFERREIRA,ACTIVE                              ,2026-06-22-16.36.52.137000,,SOCRATESREIS
  DANIELFONSECA,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  DANIELFONSECA,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  DANIELFONSECA,ACTIVE                              ,2017-04-12-16.57.44.000000,IR120942,MAXADOOG
  DANIELFONSECA,ACTIVE                              ,2017-07-28-16.26.31.000000,IR132438,MAXADOOG
  DANIELFONSECA,INACTIVE                            ,2017-06-26-14.04.27.000000,,MAXADOOG
  DANIELGONCALVES,ACTIVE                              ,2017-07-17-10.59.28.000000,,MAXADMIN
  DANIELGONCALVES,INACTIVE                            ,2020-03-11-11.00.47.000000,usuario sem acesso a unidade,MAXADOOG
  DANIELJUNIOR,ACTIVE                              ,2024-12-19-19.47.53.000000,,CAROLINABRAGA
  DANIELJUNIOR,NEWREG                              ,2024-12-19-19.46.34.000000,,MAXADMIN
  DANIELJUNIOR,INACTIVE                            ,2025-02-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELJUNIOR,INACTIVE                            ,2026-04-08-10.55.16.286000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELJUNIOR,ACTIVE                              ,2026-01-28-09.35.07.691000,,MAXADOOG
  DANIELLELEAO,ACTIVE                              ,2025-04-28-11.15.38.000000,,ITEAM
  DANIELLELEAO,ACTIVE                              ,2026-03-22-11.43.22.693000,,HELPDESK
  DANIELLELEAO,INACTIVE                            ,2025-06-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELLOPES,ACTIVE                              ,2023-03-27-09.22.50.000000,,ITEAM
  DANIELMELCHIADES,NEWREG                              ,2026-05-23-16.24.17.393000,,MAXADMIN
  DANIELMELCHIADES,ACTIVE                              ,2026-05-23-16.24.54.685000,,SOCRATESREIS
  DANIELMOREIRA,INACTIVE                            ,2024-11-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELMOREIRA,NEWREG                              ,2025-04-07-18.59.06.000000,,MAXADMIN
  DANIELMOREIRA,ACTIVE                              ,2024-09-04-15.04.55.000000,,SOCRATESREIS
  DANIELMOREIRA,NEWREG                              ,2024-09-04-15.03.57.000000,,MAXADMIN
  DANIELMOREIRA,ACTIVE                              ,2026-01-11-07.19.56.606000,,CAROLINABRAGA
  DANIELMOREIRA,INACTIVE                            ,2026-04-08-10.55.12.811000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELNOGUEIRA,ACTIVE                              ,2025-04-23-14.52.37.000000,,ITEAM
  DANIELNOGUEIRA,INACTIVE                            ,2025-06-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANIELSOUZA,NEWREG                              ,2026-05-24-13.11.03.351000,,MAXADMIN
  DANIELSOUZA,ACTIVE                              ,2026-05-24-13.14.06.286000,,SOCRATESREIS
  DANILOBARDASSON,ACTIVE                              ,2025-06-21-18.31.50.000000,,SOCRATESREIS
  DANILOBARDASSON,INACTIVE                            ,2026-04-08-10.55.14.869000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOBARDASSON,ACTIVE                              ,2026-02-11-13.55.39.562000,,MAXADMIN
  DANILOBARDASSON,BLOCKED                             ,2026-02-11-13.48.04.062000,,MAXADMIN
  DANILOBARDASSON,ACTIVE                              ,2026-02-09-11.05.38.441000,,MAXADMIN
  DANILOBARDASSON,BLOCKED                             ,2026-02-09-11.02.48.169000,,MAXADMIN
  DANILOBARDASSON,ACTIVE                              ,2026-01-28-09.35.07.696000,,MAXADOOG
  DANILOBARDASSON,INACTIVE                            ,2025-11-27-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOBARDASSON,NEWREG                              ,2025-06-21-18.27.35.000000,,ITEAM
  DANILODELIMA,ACTIVE                              ,2017-11-17-09.06.21.000000,,JULINECAETANO
  DANILODELIMA,INACTIVE                            ,2019-09-06-15.48.19.000000,,MAXADOOG
  DANILODEOLIVEIRA,ACTIVE                              ,2025-04-14-20.32.47.000000,,CAROLINABRAGA
  DANILODEOLIVEIRA,NEWREG                              ,2025-04-14-20.32.15.000000,,MAXADMIN
  DANILODEOLIVEIRA,INACTIVE                            ,2026-04-29-07.45.02.158000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILODEOLIVEIRA,ACTIVE                              ,2026-01-10-13.31.01.582000,,CAROLINABRAGA
  DANILODEOLIVEIRA,INACTIVE                            ,2025-08-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOFREITAS,NEWREG                              ,2025-10-06-04.10.27.000000,,ITEAM
  DANILOFREITAS,INACTIVE                            ,2026-04-08-10.55.14.967000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOFREITAS,ACTIVE                              ,2025-10-06-04.11.01.000000,,SOCRATESREIS
  DANILONASCIMENTO,NEWREG                              ,2025-02-20-10.39.43.000000,,MAXADMIN
  DANILONASCIMENTO,ACTIVE                              ,2025-02-20-10.41.36.000000,,SOCRATESREIS
  DANILONASCIMENTO,INACTIVE                            ,2025-04-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILONASCIMENTO,ACTIVE                              ,2026-01-28-09.35.07.700000,,MAXADOOG
  DANILONASCIMENTO,INACTIVE                            ,2026-04-08-10.55.16.839000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOPAULA,ACTIVE                              ,2026-01-12-16.23.08.864000,,ITEAM
  DANILOPAULA,INACTIVE                            ,2026-04-08-10.55.19.588000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOSANTOS,ACTIVE                              ,2024-10-25-09.53.45.000000,,ITEAM
  DANILOSANTOS,INACTIVE                            ,2025-10-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOXAVIERFELIX,INACTIVE                            ,2024-11-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANILOXAVIERFELIX,NEWREG                              ,2024-10-01-10.34.54.000000,,MAXADMIN
  DANILOXAVIERFELIX,ACTIVE                              ,2024-10-01-10.35.51.000000,,SOCRATESREIS
  DANTASCADSON,NEWREG                              ,2024-04-27-16.10.44.000000,,MAXADMIN
  DANTASCRUZ,NEWREG                              ,2024-04-27-16.20.14.000000,,MAXADMIN
  DANTASCRUZ,ACTIVE                              ,2024-04-27-16.24.09.000000,,SOCRATESREIS
  DANTASCRUZ,INACTIVE                            ,2024-06-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANTEALBURQUERQUE,BLOCKED                             ,2024-02-06-03.36.40.000000,,MAXADMIN
  DANTEALBURQUERQUE,INACTIVE                            ,2024-08-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANTEALBURQUERQUE,ACTIVE                              ,2024-02-06-03.40.54.000000,,MAXADMIN
  DANTEALBURQUERQUE,ACTIVE                              ,2024-02-05-10.12.59.000000,,ITEAM
  DANYELMORAIS,NEWREG                              ,2026-01-16-09.01.45.660000,,ITEAM
  DANYELMORAIS,INACTIVE                            ,2026-04-08-10.55.19.859000,Usuario inativo por mais de 50 dias,MAXADMIN
  DANYELMORAIS,ACTIVE                              ,2026-01-16-09.02.28.225000,,CAROLINABRAGA
  DAREKWROBLEWSKI,INACTIVE                            ,2017-06-26-14.06.31.000000,,MAXADOOG
  DAREKWROBLEWSKI,INACTIVE                            ,2022-09-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAREKWROBLEWSKI,INACTIVE                            ,2019-09-27-14.35.38.000000,Saneamento sonda,MAXADOOG
  DAREKWROBLEWSKI,ACTIVE                              ,2019-09-30-11.12.18.000000,Ticket#098669 — N09 Maximo access does not working,THIAGOFROES
  DAREKWROBLEWSKI,ACTIVE                              ,2017-06-27-18.04.37.000000,IR128963 - Reativação de usuario,MAXADOOG
  DAREKWROBLEWSKI,ACTIVE                              ,2016-09-02-11.24.08.000000,,MAXADMIN
  DARIUSZWROBLEWSKI,ACTIVE                              ,2015-11-11-11.27.24.000000,,MAXADMIN
  DARIUSZWROBLEWSKI,BLOCKED                             ,2016-07-27-21.04.25.000000,,MAXADMIN
  DARIUSZWROBLEWSKI,BLOCKED                             ,2016-03-16-08.04.18.000000,,MAXADMIN
  DARIUSZWROBLEWSKI,ACTIVE                              ,2016-03-22-16.05.34.000000,Incidente - IR87471,JULINECAETANO
  DARIUSZWROBLEWSKI,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  DARIUSZWROBLEWSKI,ACTIVE                              ,2016-08-01-11.55.49.000000,,HELPDESK
  DARLANDOREA,ACTIVE                              ,2017-07-17-11.37.05.000000,,MAXADMIN
  DARLANDOREA,INACTIVE                            ,2020-03-06-14.34.23.000000,Ticket#0106793 — Emissão de Rescisão Contratual -,JULINECAETANO
  DARLITONBOTELHO,ACTIVE                              ,2025-08-04-10.38.55.000000,,ITEAM
  DARLITONBOTELHO,INACTIVE                            ,2026-04-08-10.55.15.324000,Usuario inativo por mais de 50 dias,MAXADMIN
  DARLITONBOTELHO,ACTIVE                              ,2025-12-23-21.48.53.261000,Ticket#2025122329001084,HELPDESK
  DARLITONBOTELHO,INACTIVE                            ,2025-09-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVICOSTAMUELA,NEWREG                              ,2025-01-12-19.30.12.000000,,MAXADMIN
  DAVICOSTAMUELA,INACTIVE                            ,2025-03-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVICOSTAMUELA,ACTIVE                              ,2025-01-12-19.30.59.000000,,CAROLINABRAGA
  DAVICOSTAMUELA,ACTIVE                              ,2025-08-28-15.44.38.000000,Ticket#2025082829002064,HELPDESK
  DAVICOSTAMUELA,INACTIVE                            ,2026-04-08-10.55.14.725000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVICOSTAMUELA,ACTIVE                              ,2025-11-25-20.42.35.000000,,SOCRATESREIS
  DAVICOSTAMUELA,INACTIVE                            ,2025-10-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDAVELAR,NEWREG                              ,2025-10-22-11.13.05.000000,,ITEAM
  DAVIDAVELAR,INACTIVE                            ,2026-04-08-10.55.15.021000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDAVELAR,ACTIVE                              ,2025-10-22-11.13.49.000000,,CAROLINABRAGA
  DAVIDFERREIRA,NEWREG                              ,2024-11-02-18.43.53.000000,,MAXADMIN
  DAVIDFERREIRA,ACTIVE                              ,2024-11-02-18.48.27.000000,,SOCRATESREIS
  DAVIDFERREIRA,INACTIVE                            ,2024-12-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDFERREIRA,INACTIVE                            ,2026-04-08-10.55.18.835000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDIDALINO,NEWREG                              ,2023-12-30-18.13.34.000000,,MAXADMIN
  DAVIDIDALINO,INACTIVE                            ,2024-12-18-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  DAVIDIDALINO,ACTIVE                              ,2024-12-17-19.38.26.000000,Solicitação RSTC,GREGORYMATOS
  DAVIDIDALINO,ACTIVE                              ,2024-12-23-10.31.07.000000,Ticket#0380972 — Login MAXIMO,ITEAM
  DAVIDIDALINO,INACTIVE                            ,2024-12-24-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  DAVIDIDALINO,ACTIVE                              ,2024-12-20-19.19.27.000000,,CAROLINABRAGA
  DAVIDIDALINO,INACTIVE                            ,2024-12-21-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  DAVIDIDALINO,INACTIVE                            ,2024-02-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDIDALINO,ACTIVE                              ,2023-12-30-18.16.14.000000,,SOCRATESREIS
  DAVIDIDALINO,NEWREG                              ,2025-06-21-21.20.16.000000,,ITEAM
  DAVIDIDALINO,INACTIVE                            ,2026-04-08-10.55.14.168000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDIDALINO,ACTIVE                              ,2026-01-28-09.35.07.707000,,MAXADOOG
  DAVIDIDALINO,INACTIVE                            ,2025-06-27-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  DAVIDIDALINO,ACTIVE                              ,2025-06-21-21.21.41.000000,,SOCRATESREIS
  DAVIDJUNGES,ACTIVE                              ,2018-07-16-08.59.44.000000,,JULINECAETANO
  DAVIDMELLO,ACTIVE                              ,2025-12-22-11.31.52.172000,,ITEAM
  DAVIDMIRANDA,ACTIVE                              ,2024-04-05-16.27.16.000000,,CAROLINABRAGA
  DAVIDMIRANDA,INACTIVE                            ,2024-05-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDMIRANDA,NEWREG                              ,2024-04-05-16.24.14.000000,,MAXADMIN
  DAVIDML,INACTIVE                            ,2024-07-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDML,ACTIVE                              ,2024-05-11-20.10.41.000000,,CAROLINABRAGA
  DAVIDML,NEWREG                              ,2024-05-11-20.09.53.000000,,MAXADMIN
  DAVIDPINTO,INACTIVE                            ,2024-03-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDPINTO,NEWREG                              ,2024-02-08-08.12.53.000000,,MAXADMIN
  DAVIDPINTO,ACTIVE                              ,2024-02-08-08.15.37.000000,,CAROLINABRAGA
  DAVIDPINTO,NEWREG                              ,2025-10-23-10.31.42.000000,,ITEAM
  DAVIDPINTO,INACTIVE                            ,2026-04-08-10.55.16.409000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDPINTO,ACTIVE                              ,2025-10-23-10.36.22.000000,,CAROLINABRAGA
  DAVIDVASQUEZ,NEWREG                              ,2024-10-12-19.29.58.000000,,MAXADMIN
  DAVIDVASQUEZ,INACTIVE                            ,2025-03-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDVASQUEZ,ACTIVE                              ,2024-10-12-19.31.11.000000,,EDERANDRADE
  DAVIDVASQUEZ,INACTIVE                            ,2024-12-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIDVASQUEZ,ACTIVE                              ,2025-01-21-16.20.52.000000,,ITEAM
  DAVIDVASQUEZ,NEWREG                              ,2025-01-21-12.12.21.000000,,MAXADMIN
  DAVIDVASQUEZ,ACTIVE                              ,2026-01-28-09.35.07.712000,,MAXADOOG
  DAVIDVASQUEZ,INACTIVE                            ,2026-04-08-10.55.14.375000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIFRANCISCO,NEWREG                              ,2023-12-22-14.57.06.000000,,MAXADMIN
  DAVIFRANCISCO,ACTIVE                              ,2023-12-22-14.58.36.000000,,CAROLINABRAGA
  DAVIFRANCISCO,INACTIVE                            ,2023-12-29-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  DAVIFRANCISCO,NEWREG                              ,2025-09-20-16.35.24.000000,,ITEAM
  DAVIFRANCISCO,INACTIVE                            ,2026-04-08-10.55.13.972000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIFRANCISCO,ACTIVE                              ,2026-01-28-09.35.07.715000,,MAXADOOG
  DAVIFRANCISCO,INACTIVE                            ,2025-12-24-01.00.01.381000,Automatic Inativate expired user access,MAXADMIN
  DAVIFRANCISCO,ACTIVE                              ,2025-11-29-16.28.37.000000,,SOCRATESREIS
  DAVIGOMES,ACTIVE                              ,2025-09-22-10.38.43.000000,,ITEAM
  DAVIGOMES,INACTIVE                            ,2025-11-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2016-02-19-11.48.10.000000,,MAXADMIN
  DAVIPERALVA,INACTIVE                            ,2024-01-26-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2022-10-07-20.38.53.000000,,MAXADMIN
  DAVIPERALVA,BLOCKED                             ,2022-10-07-20.38.03.000000,,MAXADMIN
  DAVIPERALVA,BLOCKED                             ,2021-02-22-05.27.46.000000,,MAXADMIN
  DAVIPERALVA,BLOCKED                             ,2018-08-16-21.51.58.000000,,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2019-07-12-10.43.24.000000,,MAXADMIN
  DAVIPERALVA,BLOCKED                             ,2019-12-14-05.05.43.000000,,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2019-12-14-05.09.48.000000,,MAXADMIN
  DAVIPERALVA,BLOCKED                             ,2019-07-12-10.39.34.000000,,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2019-06-12-15.18.19.000000,,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2018-08-17-02.05.54.000000,Ticket#015656,HELPDESK
  DAVIPERALVA,BLOCKED                             ,2018-08-17-01.42.54.000000,,MAXADMIN
  DAVIPERALVA,BLOCKED                             ,2019-06-12-15.12.23.000000,,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2021-02-22-05.30.39.000000,,MAXADMIN
  DAVIPERALVA,ACTIVE                              ,2018-08-16-22.06.47.000000,Ticket#015656,HELPDESK
  DBARDASSON,NEWREG                              ,2026-01-31-08.55.22.434000,,ITEAM
  DBARDASSON,INACTIVE                            ,2026-04-22-07.45.01.545000,Usuario inativo por mais de 50 dias,MAXADMIN
  DBARDASSON,ACTIVE                              ,2026-02-10-17.38.57.009000,,CAROLINABRAGA
  DCABOCLO,NEWREG                              ,2026-05-03-13.19.49.426000,,MAXADMIN
  DCABOCLO,INACTIVE                            ,2026-06-23-07.45.02.451000,Usuario inativo por mais de 50 dias,MAXADMIN
  DCABOCLO,ACTIVE                              ,2026-05-03-13.20.29.646000,,CAROLINABRAGA
  DEILSONGJUNIOR,NEWREG                              ,2026-04-26-19.45.02.848000,,MAXADMIN
  DEILSONGJUNIOR,ACTIVE                              ,2026-04-26-19.54.37.311000,,SOCRATESREIS
  DEILSONGJUNIOR,INACTIVE                            ,2026-06-25-07.45.01.372000,Usuario inativo por mais de 50 dias,MAXADMIN
  DEIVERSONCONCEICAO,INACTIVE                            ,2025-10-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DEIVERSONCONCEICAO,ACTIVE                              ,2025-08-06-14.25.42.000000,,ITEAM
  DEIVSONMIRANDA,INACTIVE                            ,2025-08-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DEIVSONMIRANDA,INACTIVE                            ,2026-04-08-10.55.13.892000,Usuario inativo por mais de 50 dias,MAXADMIN
  DEIVSONMIRANDA,ACTIVE                              ,2026-01-28-09.35.07.720000,,MAXADOOG
  DEIVSONMIRANDA,NEWREG                              ,2025-06-22-09.11.56.000000,,ITEAM
  DEIVSONMIRANDA,ACTIVE                              ,2025-06-22-09.12.31.000000,,SOCRATESREIS
  DENILSON GALVÃO,NEWREG                              ,2024-03-09-09.01.10.000000,,MAXREG
  DENILSONGALVAO,ACTIVE                              ,2024-03-11-10.08.56.000000,,CAROLINABRAGA
  DENILSONGALVAO,INACTIVE                            ,2024-06-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DENILSONGALVAO,NEWREG                              ,2024-03-09-09.52.12.000000,,MAXADMIN
  DENILSONSANTOS,ACTIVE                              ,2025-12-31-09.35.24.089000,,ITEAM
  DENILSONSANTOS,INACTIVE                            ,2026-04-08-10.55.19.236000,Usuario inativo por mais de 50 dias,MAXADMIN
  DENILSONSANTOS,ACTIVE                              ,2026-01-04-15.46.54.107000,,MAXADMIN
  DENILSONSANTOS,BLOCKED                             ,2026-01-04-15.40.03.088000,,MAXADMIN
  DENISDELMAS,ACTIVE                              ,2014-03-07-17.58.06.000000,,MAXADMIN
  DENISDELMAS,INACTIVE                            ,2019-09-27-14.31.39.000000,Sanema,MAXADOOG
  DENISFREITAS,ACTIVE                              ,2023-10-31-15.44.40.000000,,ITEAM
  DENISFREITAS,BLOCKED                             ,2024-12-08-06.59.42.000000,,MAXADMIN
  DENISFREITAS,ACTIVE                              ,2024-10-15-13.43.09.000000,0375821,HELPDESK
  DENISFREITAS,ACTIVE                              ,2024-12-08-07.03.45.000000,,MAXADMIN
  DENISFREITAS,INACTIVE                            ,2024-08-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DENISFREITAS,BLOCKED                             ,2026-03-20-23.25.24.712000,,MAXADMIN
  DENISFREITAS,ACTIVE                              ,2026-03-20-23.31.02.874000,,MAXADMIN
  DENISRIBEIRO,NEWREG                              ,2025-10-14-08.11.51.000000,,ITEAM
  DENISRIBEIRO,INACTIVE                            ,2026-04-08-10.55.17.350000,Usuario inativo por mais de 50 dias,MAXADMIN
  DENISRIBEIRO,ACTIVE                              ,2026-01-28-09.35.07.724000,,MAXADOOG
  DENISRIBEIRO,ACTIVE                              ,2025-10-14-08.23.25.000000,,SOCRATESREIS
  DENISRIBEIRO,INACTIVE                            ,2025-12-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DENNERFONSECA,NEWREG                              ,2023-12-16-19.32.32.000000,,MAXADMIN
  DENNERFONSECA,INACTIVE                            ,2024-02-05-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DENNERFONSECA,ACTIVE                              ,2023-12-16-19.34.02.000000,,CAROLINABRAGA
  DENNISPECANTY,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  DENNISPECANTY,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  DENNYSRAMOS,NEWREG                              ,2026-02-11-09.53.41.408000,,ITEAM
  DENNYSRAMOS,INACTIVE                            ,2026-04-14-07.45.02.014000,Usuario inativo por mais de 50 dias,MAXADMIN
  DENNYSRAMOS,ACTIVE                              ,2026-02-11-09.57.37.330000,,CAROLINABRAGA
  DERECKCAVALCANTE,ACTIVE                              ,2025-11-17-11.41.15.000000,,ITEAM
  DERECKCAVALCANTE,INACTIVE                            ,2026-04-08-10.55.15.057000,Usuario inativo por mais de 50 dias,MAXADMIN
  DERECKCEZARIO,NEWREG                              ,2025-06-22-13.32.57.000000,,ITEAM
  DERECKCEZARIO,INACTIVE                            ,2026-04-08-10.55.14.886000,Usuario inativo por mais de 50 dias,MAXADMIN
  DERECKCEZARIO,ACTIVE                              ,2026-01-28-09.35.07.728000,,MAXADOOG
  DERECKCEZARIO,ACTIVE                              ,2025-06-22-13.33.48.000000,,SOCRATESREIS
  DERECKCEZARIO,INACTIVE                            ,2025-08-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DERIKCARVALHO,ACTIVE                              ,2025-03-11-21.32.46.000000,,CAROLINABRAGA
  DERIKCARVALHO,NEWREG                              ,2025-03-11-21.32.04.000000,,MAXADMIN
  DERIKCARVALHO,INACTIVE                            ,2025-08-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DERIKCARVALHO,INACTIVE                            ,2026-04-08-10.55.15.583000,Usuario inativo por mais de 50 dias,MAXADMIN
  DERIKCARVALHO,ACTIVE                              ,2026-01-28-09.35.07.733000,,MAXADOOG
  DEYVERSONVIEIRA,ACTIVE                              ,2024-01-22-16.56.48.000000,,SOCRATESREIS
  DEYVERSONVIEIRA,NEWREG                              ,2024-01-22-16.55.40.000000,,MAXADMIN
  DEYVERSONVIEIRA,INACTIVE                            ,2024-03-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  DEYVISONFERREIRA,BLOCKED                             ,2024-02-19-17.18.50.000000,,MAXADMIN
