IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AADOSSANTOS,NEWREG                              ,2026-01-26-02.07.47.403000,,ITEAM
  EDUARDOBEZERRA,INACTIVE                            ,2022-03-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOBEZERRA,BLOCKED                             ,2020-08-28-04.03.22.000000,,MAXADMIN
  EDUARDOBEZERRA,ACTIVE                              ,2018-06-21-10.30.55.000000,Ticket#011590 — maximo access,JULINECAETANO
  EDUARDOBEZERRA,BLOCKED                             ,2020-08-30-00.58.02.000000,,MAXADMIN
  EDUARDOBEZERRA,ACTIVE                              ,2020-08-28-04.04.34.000000,,MAXADMIN
  EDUARDOBEZERRA,ACTIVE                              ,2020-08-28-03.34.34.000000,,MAXADMIN
  EDUARDOBOSCO,ACTIVE                              ,2026-06-17-10.56.23.114000,,ITEAM
  EDUARDOCARVALHO,NEWREG                              ,2025-11-08-14.02.51.000000,,ITEAM
  EDUARDOCARVALHO,INACTIVE                            ,2026-03-26-07.45.03.686000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOCARVALHO,ACTIVE                              ,2025-11-08-14.03.35.000000,,SILVERIOMAIA
  EDUARDOFERREIRARODRIGUES,NEWREG                              ,2024-06-15-15.26.26.000000,,MAXADMIN
  EDUARDOFERREIRARODRIGUES,ACTIVE                              ,2024-06-15-15.48.34.000000,,LEONARDOFRANCISCO
  EDUARDOFERREIRARODRIGUES,INACTIVE                            ,2024-08-15-09.25.14.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOFRANCISQUINI,ACTIVE                              ,2021-07-09-11.01.02.000000,,ITEAM
  EDUARDOFRANCISQUINI,INACTIVE                            ,2021-10-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOGADELHA,ACTIVE                              ,2019-01-21-14.01.40.000000,,MAXADMIN
  EDUARDOGADELHA,INACTIVE                            ,2019-01-25-16.22.20.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  EDUARDOGADELHA,INACTIVE                            ,2020-03-11-10.47.16.000000,Integrantes sem acesso nos ultimos seis meses,MAXADOOG
  EDUARDOGADELHA,ACTIVE                              ,2019-09-10-09.38.16.000000,Ticket 095448,MAXADOOG
  EDUARDOLIMA,ACTIVE                              ,2014-05-13-10.13.36.000000,,MAXADMIN
  EDUARDOLIMA,INACTIVE                            ,2018-09-03-09.19.52.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  EDUARDONETO,INACTIVE                            ,2017-03-20-15.00.45.000000,Saneamento março/17,MAXADOOG
  EDUARDONETO,ACTIVE                              ,2016-10-14-16.09.45.000000,,ENIOSANTOS
  EDUARDOOLIVEIRA,ACTIVE                              ,2024-12-05-15.37.22.000000,,ITEAM
  EDUARDOOLIVEIRA,INACTIVE                            ,2025-01-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOOLIVEIRA,ACTIVE                              ,2025-12-11-10.03.45.560000,Ticket#2025121129000133 — Solicitação de Acesso ao Maximo,ITEAM
  EDUARDOOLIVEIRA,ACTIVE                              ,2026-03-02-09.03.13.632000,,MAXADMIN
  EDUARDOOLIVEIRA,BLOCKED                             ,2026-03-02-09.00.59.260000,,MAXADMIN
  EDUARDOOLIVEIRA,INACTIVE                            ,2026-06-24-07.45.01.768000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOPEREIRA,NEWREG                              ,2024-04-03-16.15.28.000000,,MAXADMIN
  EDUARDOPEREIRA,INACTIVE                            ,2025-03-06-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOPEREIRA,ACTIVE                              ,2025-01-08-20.37.16.000000,,SILVERIOMAIA
  EDUARDOPEREIRA,NEWREG                              ,2025-01-08-20.19.22.000000,,MAXADMIN
  EDUARDOPEREIRA,ACTIVE                              ,2024-04-03-16.18.19.000000,,SILVERIOMAIA
  EDUARDOPEREIRA,INACTIVE                            ,2024-05-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDORIBEIRO,NEWREG                              ,2024-03-21-13.43.07.000000,,MAXADMIN
  EDUARDORIBEIRO,INACTIVE                            ,2024-08-19-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDORIBEIRO,ACTIVE                              ,2024-03-21-13.45.09.000000,,SILVERIOMAIA
  EDUARDOROSARIO,ACTIVE                              ,2024-03-18-18.07.49.000000,,LEONARDOFRANCISCO
  EDUARDOROSARIO,INACTIVE                            ,2024-05-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDUARDOROSARIO,NEWREG                              ,2024-03-18-18.01.53.000000,,MAXADMIN
  EDUARDOSANTOS,ACTIVE                              ,2014-05-13-11.55.53.000000,,MAXADMIN
  EDUARDOSANTOS,INACTIVE                            ,2018-07-25-08.01.11.000000,Ticket#013774 — Rescisão Contratual - 24/07/18,JULINECAETANO
  EDUARDOSILVA,INACTIVE                            ,2019-09-12-10.53.08.000000,,MAXADOOG
  EDUARDOSILVA,ACTIVE                              ,2019-01-28-14.35.46.000000,,MAXADOOG
  EDVALDOCONCEICAO,BLOCKED                             ,2017-08-08-11.02.50.000000,,MAXADMIN
  EDVALDOCONCEICAO,ACTIVE                              ,2017-08-10-15.16.07.000000,,HELPDESK
  EDVALDOCONCEICAO,ACTIVE                              ,2017-07-31-13.04.44.000000,,PAULOPARREIRA
  EDVALDOCONCEICAO,INACTIVE                            ,2018-09-03-09.20.38.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  EDVANVIEIRA,ACTIVE                              ,2015-11-03-15.36.52.000000,,MAXADMIN
  EDVANVIEIRA,INACTIVE                            ,2016-12-01-09.45.22.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  EDWARDOLYCIOS,INACTIVE                            ,2024-10-17-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDWARDOLYCIOS,ACTIVE                              ,2024-08-27-20.07.12.000000,,SILVERIOMAIA
  EDWARDOLYCIOS,NEWREG                              ,2024-08-27-20.06.03.000000,,MAXADMIN
  EDWARDSOUZA,ACTIVE                              ,2025-08-15-14.11.48.000000,,ITEAM
  EDWARDSOUZA,INACTIVE                            ,2025-10-09-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDWINVILLAGARAY,INACTIVE                            ,2021-10-26-21.27.57.000000,,MAXADOOG
  EDWINVILLAGARAY,ACTIVE                              ,2022-07-11-09.56.09.000000,Ticket#0247663 — ACESSO WORKBENCH DO COORDENADOR DE MANUTENÇÃO - ISOLATION MANAGEMENT,ITEAM
  EDWINVILLAGARAY,INACTIVE                            ,2022-07-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EDWINVILLAGARAY,ACTIVE                              ,2018-07-31-17.45.42.000000,,MAXADOOG
  EDWINVILLAGARAY,ACTIVE                              ,2018-09-26-11.09.10.000000,,HELPDESK
  EDWINVILLAGARAY,BLOCKED                             ,2018-09-26-10.46.07.000000,,MAXADMIN
  EGAZEVEDO,ACTIVE                              ,2025-10-26-13.29.29.000000,,LEONARDOFRANCISCO
  EGAZEVEDO,INACTIVE                            ,2025-12-31-01.00.02.437000,Automatic Inativate expired user access,MAXADMIN
  EGAZEVEDO,NEWREG                              ,2025-10-26-13.23.39.000000,,ITEAM
  EGJUNIOR,NEWREG                              ,2026-02-17-13.39.17.331000,,ITEAM
  EGJUNIOR,INACTIVE                            ,2026-04-09-07.45.02.248000,Usuario inativo por mais de 50 dias,MAXADMIN
  EGJUNIOR,ACTIVE                              ,2026-02-17-13.40.43.598000,,LEONARDOFRANCISCO
  EGOMES,NEWREG                              ,2026-06-13-14.45.21.578000,,MAXADMIN
  EGOMES,ACTIVE                              ,2026-06-13-14.48.02.229000,,SILVERIOMAIA
  EGRUDGE,NEWREG                              ,2025-11-02-10.17.31.000000,,ITEAM
  EGRUDGE,INACTIVE                            ,2026-03-26-07.45.03.169000,Usuario inativo por mais de 50 dias,MAXADMIN
  EGRUDGE,ACTIVE                              ,2025-11-02-10.19.26.000000,,SILVERIOMAIA
  ELCIODIAS,ACTIVE                              ,2015-04-02-16.03.34.000000,,MAXADMIN
  ELCIODIAS,INACTIVE                            ,2016-12-01-09.45.22.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ELDERTORRES,ACTIVE                              ,2024-08-11-20.46.51.000000,,SILVERIOMAIA
  ELDERTORRES,INACTIVE                            ,2024-10-01-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELDERTORRES,NEWREG                              ,2024-08-11-20.43.57.000000,,MAXADMIN
  ELEAZARSOARES,INACTIVE                            ,2025-08-12-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELEAZARSOARES,ACTIVE                              ,2025-06-22-15.37.06.000000,,SILVERIOMAIA
  ELEAZARSOARES,NEWREG                              ,2025-06-22-15.21.46.000000,,ITEAM
  ELENILDOBRITTO,ACTIVE                              ,2017-10-17-12.21.56.000000,,PAULOPARREIRA
  ELENILDOBRITTO,INACTIVE                            ,2019-06-04-18.53.16.000000,Ticket#083579 — ENC: Emissão de Rescisão Contratual - ELENILDO SILVA DE BRITTO,THIAGOFROES
  ELENILDOBRITTO,INACTIVE                            ,2022-05-17-13.04.53.000000,Ticket#0238986 — Emissão de Rescisão Contratual -,ITEAM
  ELENILDOBRITTO,BLOCKED                             ,2022-03-10-06.52.50.000000,,MAXADMIN
  ELENILDOBRITTO,ACTIVE                              ,2022-03-10-06.56.44.000000,,MAXADMIN
  ELENILDOBRITTO,ACTIVE                              ,2022-03-09-13.49.24.000000,Ticket#0231236 — RE: Elenildo Britto_Maximo Access,ITEAM
  ELENILDOBRITTO,ACTIVE                              ,2023-08-11-16.03.07.000000,elenildobritto,ITEAM
  ELENILDOBRITTO,ACTIVE                              ,2025-10-07-06.23.47.000000,,MAXADMIN
  ELENILDOBRITTO,BLOCKED                             ,2025-10-07-06.20.07.000000,,MAXADMIN
  ELIASMARTINS,NEWREG                              ,2025-03-08-16.16.03.000000,,ITEAM
  ELIASMARTINS,INACTIVE                            ,2025-05-06-19.59.51.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELIASMARTINS,ACTIVE                              ,2025-03-08-16.17.31.000000,,LEONARDOFRANCISCO
  ELIELDEMBERG,INACTIVE                            ,2024-04-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELIELDEMBERG,NEWREG                              ,2024-01-19-16.42.15.000000,,MAXADMIN
  ELIELDEMBERG,ACTIVE                              ,2024-01-19-16.47.25.000000,,LEONARDOFRANCISCO
  ELIELSONDEJESUS,NEWREG                              ,2025-06-06-14.11.49.000000,,ITEAM
  ELIELSONDEJESUS,ACTIVE                              ,2025-06-06-14.17.11.000000,,LEONARDOFRANCISCO
  ELIELSONDEJESUS,INACTIVE                            ,2025-10-17-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELISOUZA,NEWREG                              ,2025-01-04-13.22.09.000000,,MAXADMIN
  ELISOUZA,INACTIVE                            ,2025-02-24-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELISOUZA,ACTIVE                              ,2025-01-04-13.28.56.000000,,SILVERIOMAIA
  ELITONDOSSANTOSSOUZA,ACTIVE                              ,2025-01-04-13.50.01.000000,,SILVERIOMAIA
  ELITONDOSSANTOSSOUZA,INACTIVE                            ,2025-02-24-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELITONDOSSANTOSSOUZA,NEWREG                              ,2025-01-04-13.49.04.000000,,MAXADMIN
  ELITONS,NEWREG                              ,2025-01-04-13.23.49.000000,,MAXADMIN
  ELITONS,INACTIVE                            ,2025-02-24-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELITONS,ACTIVE                              ,2025-01-04-13.26.44.000000,,SILVERIOMAIA
  ELITONSOUZA,NEWREG                              ,2025-01-04-13.19.21.000000,,MAXADMIN
  ELITONSOUZA,INACTIVE                            ,2025-02-24-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELITONSOUZA,ACTIVE                              ,2025-01-04-13.27.42.000000,,SILVERIOMAIA
  ELIVELTONOLIVEIRA,NEWREG                              ,2024-05-25-16.25.32.000000,,MAXADMIN
  ELIVELTONOLIVEIRA,ACTIVE                              ,2024-05-25-16.27.02.000000,,SILVERIOMAIA
  ELIVELTONOLIVEIRA,INACTIVE                            ,2024-07-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELIVELTONROSA,NEWREG                              ,2025-03-16-16.18.55.000000,,ITEAM
  ELIVELTONROSA,INACTIVE                            ,2025-05-22-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELIVELTONROSA,ACTIVE                              ,2025-03-16-16.21.08.000000,,LEONARDOFRANCISCO
  ELLERSONRIBEIRO,ACTIVE                              ,2024-06-15-15.46.06.000000,,LEONARDOFRANCISCO
  ELLERSONRIBEIRO,NEWREG                              ,2024-06-15-15.34.03.000000,,MAXADMIN
  ELLERSONRIBEIRO,INACTIVE                            ,2024-08-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELMARFERREIRA,NEWREG                              ,2024-08-12-09.58.13.000000,,MAXADMIN
  ELMARFERREIRA,ACTIVE                              ,2024-08-12-10.10.12.000000,,SILVERIOMAIA
  ELMARFERREIRA,INACTIVE                            ,2024-10-02-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELMOSANTOS,ACTIVE                              ,2025-02-28-13.41.12.000000,,ITEAM
  ELMOSANTOS,ACTIVE                              ,2025-06-24-06.28.23.000000,,HELPDESK
  ELMOSANTOS,INACTIVE                            ,2025-06-19-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELMOSANTOS_TER,INACTIVE                            ,2023-12-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELMOSANTOS_TER,INACTIVE                            ,2024-06-22-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELMOSANTOS_TER,INACTIVE                            ,2025-02-28-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELMOSANTOS_TER,ACTIVE                              ,2025-02-27-13.54.31.000000,2025022729000506,HELPDESK
  ELMOSANTOS_TER,ACTIVE                              ,2024-05-01-15.16.20.000000,Ticket#0353969 — Criação de usuário Maximo,ITEAM
  ELMOSANTOS_TER,ACTIVE                              ,2023-10-19-15.16.28.000000,,ITEAM
  ELOIORLANDINI,ACTIVE                              ,2025-01-21-10.14.41.000000,,ITEAM
  ELOIORLANDINI,INACTIVE                            ,2025-01-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELOIORLANDINI,INACTIVE                            ,2024-10-07-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELOIORLANDINI,ACTIVE                              ,2024-08-16-14.34.17.000000,,ITEAM
  ELTONMACEDO,NEWREG                              ,2025-11-07-09.45.35.000000,,ITEAM
  ELTONMACEDO,INACTIVE                            ,2026-03-26-07.45.03.214000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELTONMACEDO,ACTIVE                              ,2025-11-07-09.50.31.000000,,SILVERIOMAIA
  ELVISDESOUZA,INACTIVE                            ,2023-12-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ELVISDESOUZA,ACTIVE                              ,2023-10-19-16.04.21.000000,,ITEAM
  ELVISMARTINS,NEWREG                              ,2026-04-27-09.43.03.731000,,MAXADMIN
  ELVISMARTINS,ACTIVE                              ,2026-04-27-09.52.23.137000,,SILVERIOMAIA
  ELVISMARTINS,INACTIVE                            ,2026-06-17-07.45.01.364000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,ACTIVE                              ,2023-06-01-18.25.37.000000,,HELPDESK
  EMANUELLYBARRETO,INACTIVE                            ,2022-10-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,ACTIVE                              ,2022-04-06-15.51.51.000000,,ITEAM
  EMANUELLYBARRETO,INACTIVE                            ,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,INACTIVE                            ,2023-09-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,INACTIVE                            ,2023-02-11-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,ACTIVE                              ,2022-10-10-11.47.30.000000,,ITEAM
  EMANUELLYBARRETO,INACTIVE                            ,2022-04-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,ACTIVE                              ,2022-04-04-14.13.52.000000,,ITEAM
  EMANUELLYBARRETO,ACTIVE                              ,2022-03-04-16.15.53.000000,0230218 — Alteração de permissões no MAXIMO,ITEAM
  EMANUELLYBARRETO,INACTIVE                            ,2022-05-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,ACTIVE                              ,2022-10-07-08.26.35.000000,Ticket#0259791,HELPDESK
  EMANUELLYBARRETO,INACTIVE                            ,2022-03-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELLYBARRETO,ACTIVE                              ,2020-12-01-10.21.18.000000,,ITEAM
  EMANUELOLIVEIRA,NEWREG                              ,2024-05-24-09.36.55.000000,,MAXADMIN
  EMANUELOLIVEIRA,INACTIVE                            ,2024-08-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELOLIVEIRA,ACTIVE                              ,2024-05-24-09.39.57.000000,,SILVERIOMAIA
  EMANUELSANTOS,ACTIVE                              ,2025-11-13-14.42.34.000000,,MAXADOOG
  EMANUELSANTOS,INACTIVE                            ,2026-03-26-07.45.03.705000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELSILVA,INACTIVE                            ,2024-09-17-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMANUELSILVA,ACTIVE                              ,2024-07-28-13.57.24.000000,,LEONARDOFRANCISCO
  EMANUELSILVA,NEWREG                              ,2024-07-28-13.53.50.000000,,MAXADMIN
  EMERSONBARBOSA,INACTIVE                            ,2024-02-03-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMERSONBARBOSA,ACTIVE                              ,2023-12-10-19.21.22.000000,,SILVERIOMAIA
  EMERSONBARBOSA,NEWREG                              ,2023-12-10-11.36.51.000000,,MAXADMIN
  EMERSONBARBOSA,INACTIVE                            ,2024-06-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMERSONBARBOSA,ACTIVE                              ,2024-04-05-19.47.44.000000,Ticket#0349538,HELPDESK
  EMERSONBASTOS,INACTIVE                            ,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMERSONBASTOS,ACTIVE                              ,2019-03-26-18.08.50.000000,,THIAGOFROES
  EMERSONDUARTE,INACTIVE                            ,2016-12-01-09.45.22.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  EMERSONDUARTE,ACTIVE                              ,2014-05-12-17.57.19.000000,,MAXADMIN
  EMERSONFELIX,ACTIVE                              ,2024-12-26-10.10.59.000000,,ITEAM
  EMERSONFELIX,ACTIVE                              ,2025-04-18-14.48.57.000000,Ticket#2025041729001217 — MÁXIMO,ITEAM
  EMERSONFELIX,INACTIVE                            ,2025-02-17-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMERSONFELIX,INACTIVE                            ,2025-06-30-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMERSONFELIX,INACTIVE                            ,2026-05-01-07.45.02.389000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMERSONFELIX,INACTIVE                            ,2025-10-07-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMERSONFELIX,ACTIVE                              ,2025-10-19-21.42.15.000000,Ticket#2025101929000239,HELPDESK
  EMERSONFELIX,ACTIVE                              ,2025-08-10-11.40.08.000000,,HELPDESK
  EMILIOSBOM,ACTIVE                              ,2024-12-04-20.58.33.000000,,MAXADOOG
  EMILIOSBOM,INACTIVE                            ,2024-08-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMILIOSBOM,INACTIVE                            ,2023-08-08-13.19.02.000000,,ITEAM
  EMILIOSBOM,ACTIVE                              ,2023-08-08-13.19.33.000000,,ITEAM
  EMILIOSBOM,ACTIVE                              ,2025-10-08-18.33.47.000000,,MAXADMIN
  EMILIOSBOM,BLOCKED                             ,2025-10-08-18.32.22.000000,,MAXADMIN
  EMMANUEL,ACTIVE                              ,2015-10-07-18.06.21.000000,,MAXADMIN
  EMMANUEL,INACTIVE                            ,2016-12-01-09.45.22.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  EMNICOLAU,ACTIVE                              ,2025-08-02-17.51.29.000000,,LEONARDOFRANCISCO
  EMNICOLAU,INACTIVE                            ,2025-09-22-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMNICOLAU,NEWREG                              ,2025-08-02-17.46.11.000000,,ITEAM
  EMSANTANA,NEWREG                              ,2026-01-24-20.37.16.033000,,ITEAM
  EMSANTANA,INACTIVE                            ,2026-03-26-07.45.04.379000,Usuario inativo por mais de 50 dias,MAXADMIN
  EMSANTANA,ACTIVE                              ,2026-01-24-20.38.29.176000,,LEONARDOFRANCISCO
  ENETO,ACTIVE                              ,2025-10-26-10.01.46.000000,,LEONARDOFRANCISCO
  ENETO,INACTIVE                            ,2026-03-26-07.45.03.313000,Usuario inativo por mais de 50 dias,MAXADMIN
  ENETO,NEWREG                              ,2025-10-26-03.09.02.000000,,ITEAM
  ENIOSANTOS,ACTIVE                              ,2016-03-07-11.33.18.000000,,MAXADMIN
  ENIOSANTOS,INACTIVE                            ,2018-09-17-10.01.11.000000,,MAXADOOG
  ENNESFILHO,INACTIVE                            ,2016-12-01-09.45.22.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ENNESFILHO,ACTIVE                              ,2014-05-13-11.16.23.000000,,MAXADMIN
  ENZOAZEVEDO,INACTIVE                            ,2023-11-05-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ENZOAZEVEDO,ACTIVE                              ,2023-09-15-14.03.46.000000,,ITEAM
  ENZOCOELHO,NEWREG                              ,2026-03-08-07.36.28.974000,,MAXADMIN
  ENZOCOELHO,INACTIVE                            ,2026-05-10-07.45.02.147000,Usuario inativo por mais de 50 dias,MAXADMIN
  ENZOCOELHO,ACTIVE                              ,2026-03-08-07.37.38.817000,,UELITONJUNIOR
  EPAMARAL,NEWREG                              ,2025-07-04-11.04.59.000000,,ITEAM
  EPAMARAL,INACTIVE                            ,2026-05-03-07.45.02.513000,Usuario inativo por mais de 50 dias,MAXADMIN
  EPAMARAL,ACTIVE                              ,2025-07-04-11.05.42.000000,,LEONARDOFRANCISCO
  ERALDONUNES,ACTIVE                              ,2025-08-09-16.24.54.000000,,SILVERIOMAIA
  ERALDONUNES,INACTIVE                            ,2025-10-02-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERALDONUNES,NEWREG                              ,2025-08-09-16.12.04.000000,,ITEAM
  ERENILDOANELCETOSOUZA,ACTIVE                              ,2024-04-27-13.36.26.000000,,SILVERIOMAIA
  ERENILDOANELCETOSOUZA,INACTIVE                            ,2024-07-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERENILDOANELCETOSOUZA,NEWREG                              ,2024-04-27-13.35.27.000000,,MAXADMIN
  ERIBEIROGUIMARAES,NEWREG                              ,2026-04-09-10.14.37.341000,,MAXADMIN
  ERIBEIROGUIMARAES,INACTIVE                            ,2026-06-10-07.45.02.707000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERIBEIROGUIMARAES,ACTIVE                              ,2026-04-09-10.16.00.986000,,LEONARDOFRANCISCO
  ERICACARVALHO,INACTIVE                            ,2024-12-26-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERICACARVALHO,ACTIVE                              ,2024-10-22-10.29.14.000000,,MAXADOOG
  ERICALISBOA,ACTIVE                              ,2022-05-19-13.05.40.000000,,ITEAM
  ERICALISBOA,ACTIVE                              ,2019-08-29-12.16.24.000000,,THIAGOFROES
  ERICALISBOA,INACTIVE                            ,2025-08-15-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERICALISBOA,INACTIVE                            ,2020-03-11-10.50.18.000000,Integrantes sem acesso na unidade,MAXADOOG
  ERICKALVES,NEWREG                              ,2025-12-27-15.26.17.011000,,ITEAM
  ERICKALVES,INACTIVE                            ,2026-03-26-07.45.04.067000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERICKALVES,ACTIVE                              ,2025-12-27-15.27.17.184000,,SILVERIOMAIA
  ERICKPESSANHA,ACTIVE                              ,2025-08-08-09.42.07.000000,,ITEAM
  ERICKPESSANHA,INACTIVE                            ,2025-09-28-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERICLOBO,INACTIVE                            ,2024-09-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERICLOBO,NEWREG                              ,2024-07-13-15.58.39.000000,,MAXADMIN
  ERICLOBO,ACTIVE                              ,2024-07-13-16.05.01.000000,,SILVERIOMAIA
  ERICTUSANG,NEWREG                              ,2025-08-17-20.12.00.000000,,ITEAM
  ERICTUSANG,INACTIVE                            ,2025-10-09-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERICTUSANG,ACTIVE                              ,2025-08-17-20.13.18.000000,,SILVERIOMAIA
  ERIKVANNOUHUYS,ACTIVE                              ,2017-07-14-14.15.26.000000,,MAXADMIN
  ERNANDESPEREIR,ACTIVE                              ,2018-10-16-18.35.00.000000,,MAXADOOG
  ERNANDESPEREIR,INACTIVE                            ,2020-11-06-12.30.45.000000,Ticket#0176266 - Rescisão 03/11/2020,VANIASANTOS
  ERNANECARVALHAL,INACTIVE                            ,2019-01-25-16.22.20.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  ERNANECARVALHAL,ACTIVE                              ,2018-04-10-08.12.40.000000,,JULINECAETANO
  ERNANENETTO,ACTIVE                              ,2024-10-18-11.23.52.000000,,ITEAM
  ERNESTOJUNIOR,INACTIVE                            ,2023-07-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERNESTOJUNIOR,ACTIVE                              ,2018-10-29-14.12.21.000000,,RENANAVNER
  ERNESTOJUNIOR,ACTIVE                              ,2018-11-23-11.03.12.000000,,MAXADMIN
  ERNESTOJUNIOR,BLOCKED                             ,2018-11-23-10.58.24.000000,,MAXADMIN
  ERODRIGUES,NEWREG                              ,2024-04-26-14.57.20.000000,,MAXADMIN
  ERODRIGUES,INACTIVE                            ,2024-09-17-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ERODRIGUES,INACTIVE                            ,2024-07-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
